fecha_hora,compras_arranque_parada
2019-01-01,481371053.91785
2019-01-02,490634415.03589
2019-01-03,221437429.86972
2019-01-04,959553.25132
2019-01-05,89932079.17907
2019-01-06,9517366.63662
2019-01-07,5866254.44067
2019-01-08,1498308.47401
2019-01-09,7602271.47404
2019-01-10,50160218.01528
2019-01-11,15377441.355
2019-01-12,39610131.86466
2019-01-13,146447799.6227
2019-01-14,102506078.24792
2019-01-15,86912962.46504
2019-01-16,144056782.11529
2019-01-17,168638368.90819
2019-01-18,313646668.05138
2019-01-19,396116887.60167
2019-01-20,788700048.47305
2019-01-21,541784868.63483
2019-01-22,433706190.03817
2019-01-23,39671580.27551
2019-01-24,314984179.41983
2019-01-25,230702116.887
2019-01-26,129630103.17193
2019-01-27,63713306.08675
2019-01-28,73112548.65314
2019-01-29,154745167.48917
2019-01-30,120648985.9908
2019-01-31,75535074.9882
2019-02-01,75936482.95688
2019-02-02,472857388.43776
2019-02-03,484388215.44184
2019-02-04,388597272.21492
2019-02-05,95874208.35482
2019-02-06,84206066.25608
2019-02-07,492015990.52462
2019-02-08,418130744.24147
2019-02-09,236459116.54972
2019-02-10,85771309.5791
2019-02-11,143241340.47236
2019-02-12,312362474.77589
2019-02-13,61598926.16779
2019-02-14,11091066.14901
2019-02-15,103847209.25203
2019-02-16,21009009.17793
2019-02-17,36274193.73496
2019-02-18,116743268.6575
2019-02-19,238534008.04921
2019-02-20,249561913.75422
2019-02-21,580147408.96712
2019-02-22,308089842.05482
2019-02-23,27552900.89218
2019-02-24,426836040.81992
2019-02-25,442077374.86212
2019-02-26,669960518.24361
2019-02-27,191100412.11164
2019-02-28,203368350.77857
2019-03-01,189313314.18928
2019-03-02,126743678.91364
2019-03-03,9372166.44587
2019-03-04,37442239.58902
2019-03-05,84996955.777
2019-03-06,304875413.89534
2019-03-07,44929036.19546
2019-03-08,6636671.88875
2019-03-09,26847796.12868
2019-03-10,26997366.64442
2019-03-11,68637692.84787
2019-03-12,18550445.41201
2019-03-13,182200209.049
2019-03-14,237059149.45518
2019-03-15,242405840.51605
2019-03-16,135381122.98541
2019-03-17,145909616.64675
2019-03-18,97278221.26583
2019-03-19,165266401.39064
2019-03-20,67003784.64438
2019-03-21,56648079.49624
2019-03-22,78897906.23995
2019-03-23,112972431.76181
2019-03-24,832047189.63023
2019-03-25,133257935.90113
2019-03-26,104588568.56845
2019-03-27,503828439.24013
2019-03-28,422484476.83549
2019-03-29,43758295.86329
2019-03-30,77746757.03663
2019-03-31,122357940.51936
2019-04-01,292020363.36258
2019-04-02,91704484.55236
2019-04-03,288146765.46323
2019-04-04,158627993.21985
2019-04-05,328601767.10425
2019-04-06,104384527.84054
2019-04-07,23616539.38877
2019-04-08,96563265.73501
2019-04-09,34948005.736
2019-04-10,58762559.84834
2019-04-11,249619029.69506
2019-04-12,298224581.96164
2019-04-13,64748191.67239
2019-04-14,608314252.58215
2019-04-15,74948084.56794
2019-04-16,28561843.16818
2019-04-17,253956075.99063
2019-04-18,44762459.43045
2019-04-19,1866916166.84717
2019-04-20,318465742.10479
2019-04-21,152459539.68845
2019-04-22,41295429.0067
2019-04-23,94490745.60929
2019-04-24,173163604.16018
2019-04-25,727894149.52999
2019-04-26,539429676.39067
2019-04-27,411827849.44493
2019-04-28,287596605.45461
2019-04-29,112978617.63767
2019-04-30,109567473.55204
2019-05-02,333349034.96419
2019-05-03,67327399.59197
2019-05-04,19636905.59383
2019-05-05,874762492.21592
2019-05-06,909276538.27938
2019-05-07,412729926.41523
2019-05-08,432199630.7555
2019-05-09,302623181.01498
2019-05-10,91632788.24411
2019-05-11,358385999.01812
2019-05-12,432421532.45456
2019-05-13,408272155.11557
2019-05-14,210543991.60691
2019-05-15,117375269.21171
2019-05-16,338700493.73275
2019-05-17,169554427.88893
2019-05-18,236556183.89797
2019-05-19,468517132.09106
2019-05-20,1200145568.84077
2019-05-21,387060560.05548
2019-05-22,115431347.00016
2019-05-23,256910959.09992
2019-05-24,209008612.3066
2019-05-25,87168300.78455
2019-05-26,777836779.26392
2019-05-27,640812082.87591
2019-05-28,47403901.12803
2019-05-29,31374971.13601
2019-05-30,39214288.87077
2019-05-31,113266618.25719
2019-06-02,807862346.85008
2019-06-03,775410712.73749
2019-06-04,310411530.0646
2019-06-05,226526643.92916
2019-06-06,91146592.43523
2019-06-07,154882658.95473
2019-06-08,136399727.84062
2019-06-09,1405529776.80851
2019-06-10,674152707.13164
2019-06-11,82454558.34673
2019-06-12,69348881.99544
2019-06-13,267057079.32265
2019-06-14,475293325.89011
2019-06-15,401673009.14031
2019-06-16,623701253.19938
2019-06-17,1028632026.26408
2019-06-18,594642832.07353
2019-06-19,101087702.1523
2019-06-20,694974559.65969
2019-06-21,687718235.71983
2019-06-22,155954364.62461
2019-06-23,232024207.58814
2019-06-24,36146566.9762
2019-06-25,531857407.43283
2019-06-26,209230764.23237
2019-06-27,335312036.26788
2019-06-28,287278324.01122
2019-06-29,82102700.9214
2019-06-30,60366537.26389
2019-07-01,235351210.06821
2019-07-02,91648269.55982
2019-07-03,193871846.09483
2019-07-04,79654385.18922
2019-07-05,91497249.88108
2019-07-06,216028024.19411
2019-07-07,91471944.33993
2019-07-08,211779721.95592
2019-07-09,104279142.69675
2019-07-10,128254816.80354
2019-07-11,320671573.34766
2019-07-12,67220836.45623
2019-07-13,50446294.40592
2019-07-14,64800834.13693
2019-07-15,47983679.42874
2019-07-16,60680198.91512
2019-07-17,59588274.6851
2019-07-18,52984509.74199
2019-07-19,289673073.65367
2019-07-20,367733488.91215
2019-07-21,83815652.34666
2019-07-22,166199178.27452
2019-07-23,400208148.63187
2019-07-24,381202410.71361
2019-07-25,911934596.39924
2019-07-26,266784815.88238
2019-07-27,93199991.47462
2019-07-28,88118310.55207
2019-07-29,71955074.23869
2019-07-30,136440047.69711
2019-07-31,109416130.72891
2019-08-01,109993235.79163
