fecha_hora,porcentaje_volumen_util
2019-01-01,0.71411
2019-01-02,0.71015
2019-01-03,0.70524
2019-01-04,0.70056
2019-01-05,0.69619
2019-01-06,0.69319
2019-01-07,0.6893
2019-01-08,0.68579
2019-01-09,0.68286
2019-01-10,0.67943
2019-01-11,0.67547
2019-01-12,0.67245
2019-01-13,0.66955
2019-01-14,0.66601
2019-01-15,0.66233
2019-01-16,0.65867
2019-01-17,0.65472
2019-01-18,0.65107
2019-01-19,0.64725
2019-01-20,0.64535
2019-01-21,0.6434
2019-01-22,0.63849
2019-01-23,0.63327
2019-01-24,0.62727
2019-01-25,0.62329
2019-01-26,0.61858
2019-01-27,0.61553
2019-01-28,0.61164
2019-01-29,0.60934
2019-01-30,0.60423
2019-01-31,0.6008
2019-02-01,0.59704
2019-02-02,0.59277
2019-02-03,0.59083
2019-02-04,0.58475
2019-02-05,0.57981
2019-02-06,0.57515
2019-02-07,0.56977
2019-02-08,0.56472
2019-02-09,0.55975
2019-02-10,0.55692
2019-02-11,0.55368
2019-02-12,0.55025
2019-02-13,0.54563
2019-02-14,0.54255
2019-02-15,0.53705
2019-02-16,0.53198
2019-02-17,0.52873
2019-02-18,0.52393
2019-02-19,0.52067
2019-02-20,0.51772
2019-02-21,0.5148
2019-02-22,0.51269
2019-02-23,0.51086
2019-02-24,0.50989
2019-02-25,0.50808
2019-02-26,0.50488
2019-02-27,0.50201
2019-02-28,0.49884
2019-03-01,0.49495
2019-03-02,0.49344
2019-03-03,0.49042
2019-03-04,0.48621
2019-03-05,0.48175
2019-03-06,0.48642
2019-03-07,0.47431
2019-03-08,0.47136
2019-03-09,0.46807
2019-03-10,0.46729
2019-03-11,0.46574
2019-03-12,0.46326
2019-03-13,0.45936
2019-03-14,0.45701
2019-03-15,0.45426
2019-03-16,0.45139
2019-03-17,0.44946
2019-03-18,0.44628
2019-03-19,0.44715
2019-03-20,0.44526
2019-03-21,0.44353
2019-03-22,0.4439
2019-03-23,0.44453
