origen,fecha_hora,real,pred_analogo,pred_cronologico
Origen 1,2020-07-01 00:00:00,205.16884,165.81494,176.03745
Origen 1,2020-07-01 01:00:00,210.16884,163.75291,174.88177
Origen 1,2020-07-01 02:00:00,205.16884,163.6164,174.78816
Origen 1,2020-07-01 03:00:00,205.16884,163.61343,174.63536
Origen 1,2020-07-01 04:00:00,205.16884,164.01407,174.93323
Origen 1,2020-07-01 05:00:00,205.16884,165.1528,175.2582
Origen 1,2020-07-01 06:00:00,205.16884,166.78777,175.34503
Origen 1,2020-07-01 07:00:00,210.16884,169.11766,178.55138
Origen 1,2020-07-01 08:00:00,210.16884,202.13004,222.37318
Origen 1,2020-07-01 09:00:00,260.16884,208.74384,224.48497
Origen 1,2020-07-01 10:00:00,260.16884,213.89682,227.84915
Origen 1,2020-07-01 11:00:00,270.16884,254.27295,253.9131
Origen 1,2020-07-01 12:00:00,270.16884,256.58124,254.69487
Origen 1,2020-07-01 13:00:00,270.16884,256.6746,255.06213
Origen 1,2020-07-01 14:00:00,270.16884,252.4529,246.67564
Origen 1,2020-07-01 15:00:00,270.16884,250.3462,244.68143
Origen 1,2020-07-01 16:00:00,260.16884,213.54341,227.387
Origen 1,2020-07-01 17:00:00,260.16884,212.70448,225.94215
Origen 1,2020-07-01 18:00:00,270.16884,257.45972,248.45377
Origen 1,2020-07-01 19:00:00,270.16884,260.2789,253.58508
Origen 1,2020-07-01 20:00:00,270.16884,255.94763,256.38336
Origen 1,2020-07-01 21:00:00,260.16884,250.97012,243.61179
Origen 1,2020-07-01 22:00:00,210.16884,208.37001,223.54094
Origen 1,2020-07-01 23:00:00,210.16884,200.4064,217.12611
Origen 1,2020-07-02 00:00:00,171.60186,182.80896,193.97362
Origen 1,2020-07-02 01:00:00,171.60186,170.17989,182.43062
Origen 1,2020-07-02 02:00:00,193.60186,168.08714,179.43407
Origen 1,2020-07-02 03:00:00,193.60186,167.6322,178.59796
Origen 1,2020-07-02 04:00:00,193.60186,167.51547,177.44655
Origen 1,2020-07-02 05:00:00,193.60186,168.21657,178.13367
Origen 1,2020-07-02 06:00:00,193.60186,168.92012,178.59242
Origen 1,2020-07-02 07:00:00,193.60186,184.79512,187.81445
Origen 1,2020-07-02 08:00:00,200.60086,190.52385,193.90553
Origen 1,2020-07-02 09:00:00,200.60086,246.97153,232.53206
Origen 1,2020-07-02 10:00:00,208.60186,241.63959,234.9979
Origen 1,2020-07-02 11:00:00,253.60186,245.14333,238.7455
Origen 1,2020-07-02 12:00:00,253.60186,244.22136,239.54324
Origen 1,2020-07-02 13:00:00,208.60186,243.49368,240.41684
Origen 1,2020-07-02 14:00:00,208.60186,244.71796,240.8239
Origen 1,2020-07-02 15:00:00,208.60186,244.14229,240.2093
Origen 1,2020-07-02 16:00:00,208.60186,240.66573,238.73933
Origen 1,2020-07-02 17:00:00,200.60086,240.0324,236.80614
