config,semilla,mae,mape,mae_el_nino,mae_resto,n_el_nino,segundos
BASE,42,56.10622150834466,15.929163809208347,89.69295434757618,43.282844337834135,1439,141.32991886138916
BASE,7,56.23938218474217,16.173933733736494,90.89387651873452,43.008334865396186,1439,134.04837012290955
BASE,2024,57.05736289538124,16.626793256947618,91.78502257271964,43.79838112947783,1439,150.29887461662292
DUP_NINO,42,56.70046418944469,16.80569336168026,90.29487895014272,43.874154069878635,1439,508.9760823249817
DUP_NINO,7,58.17446860895487,16.770712599498967,96.59697434973765,43.50479873339468,1439,514.0510516166687
DUP_NINO,2024,55.27204306791338,15.962836592446047,84.4463371604698,44.13333009386491,1439,509.1546151638031
VARS_NINO,42,61.34210641842703,19.402813404793054,94.70968618391406,48.602401647258056,1439,173.21592831611633
VARS_NINO,7,56.16183490837883,15.844304495226478,92.65891600028435,42.22729001815541,1439,173.67639255523682
VARS_NINO,2024,57.37019561711325,16.66059605634166,90.14991582837473,44.854934968663976,1439,174.71125650405884
INTERACCION,42,57.125871918658895,16.4309725657999,91.69192620034055,43.928590912731615,1439,158.89188838005066
INTERACCION,7,57.467654181378386,16.7238898494842,91.50680504378413,44.47154431377375,1439,169.3777198791504
INTERACCION,2024,58.88989106514925,17.051013877316983,93.67761125510168,45.60797826245849,1439,179.30731844902039
TODO,42,56.684511012932795,16.112973414246213,89.92781714287774,43.99225377732899,1439,659.4520654678345
TODO,7,58.30220926725139,17.287589400284258,91.54040313846761,45.61190388633334,1439,651.9630727767944
TODO,2024,61.56022757090954,19.14120048233862,95.60908908559242,48.5604101870866,1439,651.9813868999481
