decil,precio_medio,MAE,MAPE,n,aporte_%
1,108.82460628846154,11.978227498744676,11.22098649219272,520,9.990467748725004
2,119.90928176583493,12.936911444894974,10.859075999654507,521,9.686837958077495
3,153.2438459574468,18.920449495581686,12.190527462199965,517,10.791069241276837
4,212.35781862332695,27.633765439358474,12.994420680806899,523,11.636169807351239
5,260.3139710176125,31.80381748781335,12.24502228111389,511,10.713513440681856
6,317.2008433904762,32.42168570024837,10.279919794771176,525,9.240606327142519
7,416.05356040618955,59.00140238928404,13.73733709679157,517,12.160306948316945
8,645.6456789299612,82.80868012492634,12.969941389083779,514,11.414386433179407
9,749.9907772115384,49.21107636668732,6.555660213421263,520,5.83675169552641
10,973.6190666666666,99.26382230714209,9.654778405416671,516,8.529890399722275
