tramo,variante,mae,mae_nbeatsx,dm_p_vs_nbeatsx
1-24h,NNLS-CV (v2 actual),58.37440881698255,59.16935604415422,0.7968931532885491
1-24h,LAD-CV,55.49178898648146,59.16935604415422,0.12842617854469426
1-24h,causal NNLS expansiva,57.504303504404014,59.16935604415422,0.5588627016934501
1-24h,causal NNLS movil 10 cortes (30d),62.171918052225834,59.16935604415422,0.3898281940804599
1-24h,causal NNLS movil 20 cortes (60d),60.27669793792613,59.16935604415422,0.7349862836984994
1-24h,causal LAD expansiva,56.363475311011946,59.16935604415422,0.25921216020931526
1-24h,causal LAD movil 20 cortes (60d),57.53042930851964,59.16935604415422,0.4675668214830565
25-48h,NNLS-CV (v2 actual),69.81374395200407,77.64168406592039,0.15239234739301605
25-48h,LAD-CV,67.01304747047028,77.64168406592039,0.048215068157663056
25-48h,causal NNLS expansiva,70.46194632462812,77.64168406592039,0.16990317750176043
25-48h,causal NNLS movil 10 cortes (30d),73.54336403932018,77.64168406592039,0.45029893344446326
25-48h,causal NNLS movil 20 cortes (60d),71.74814159612777,77.64168406592039,0.3040224385501522
25-48h,causal LAD expansiva,68.95330406697003,77.64168406592039,0.1366247495529982
25-48h,causal LAD movil 20 cortes (60d),69.79443214254938,77.64168406592039,0.16617815563074567
49-72h,NNLS-CV (v2 actual),89.36384954971041,100.12855054850746,0.15130186127526818
49-72h,LAD-CV,87.34532773252339,100.12855054850746,0.08540586624181652
49-72h,causal NNLS expansiva,90.19958429328734,100.12855054850746,0.196785223153925
49-72h,causal NNLS movil 10 cortes (30d),90.23261714858997,100.12855054850746,0.1353196244207288
49-72h,causal NNLS movil 20 cortes (60d),92.36748154578449,100.12855054850746,0.3096260008306233
49-72h,causal LAD expansiva,87.54421759972092,100.12855054850746,0.1074088600176745
49-72h,causal LAD movil 20 cortes (60d),88.49412719096415,100.12855054850746,0.11190247224186305
