modo,conjunto,n_votantes,mae_1-24h,mae_25-48h,mae_49-72h
CV,completo vigente (7),7,47.90573381290295,64.00186969023187,74.68710144774987
CV,completo + LEAR (8),8,46.477721959239524,62.91020350419677,72.79045105333954
CV,"completo, LEAR en vez de Ridge (7)",7,46.477721959239524,62.82206010232411,72.79045105333954
CV,LEAR + 2 redes + naive (4),4,46.43441591189133,62.56041832550559,72.86871105655062
CV,LEAR + 1 red + naive (3),3,47.54113400346927,63.79566485139837,73.37548243932741
CV,LEAR + 1 red (2),2,47.541134003469274,63.78295930513258,73.2860674073948
CV,LEAR + arboles + naive (5),5,51.14014870617347,66.70129605296883,75.5795676607459
CV,solo LEAR + naive (2),2,51.08298968874594,67.59132060095989,76.714378598727
desplegable,completo vigente (7),7,50.25784094937573,67.13412146341594,79.33613848005405
desplegable,completo + LEAR (8),8,48.696642933534235,65.97655973514084,77.16932560439415
desplegable,"completo, LEAR en vez de Ridge (7)",7,48.64217207212059,65.61064911024445,76.89016764680206
desplegable,LEAR + 2 redes + naive (4),4,48.60248964110092,65.56425041196712,76.19213989826925
desplegable,LEAR + 1 red + naive (3),3,49.706215437819836,66.7474544419344,76.506691625516
desplegable,LEAR + 1 red (2),2,49.680568763388465,66.5955157267132,76.26630729939242
desplegable,LEAR + arboles + naive (5),5,53.100375153778884,69.85802155243663,79.8390912441703
desplegable,solo LEAR + naive (2),2,52.93943063425157,70.24568694130089,79.75227664127226
