tramo,conjunto,modo,mae,mae_nbeatsx,p_vs_nbeatsx,cobertura,ancho,interval_score
1-24h,v3 (mismos votantes),CV,47.90573381290295,49.406888672118384,0.013088068488919089,78.30615942028986,154.09848373539563,278.65173696754727
1-24h,v3 (mismos votantes),desplegable,50.25784094937573,51.315893255653265,0.11184477659674114,78.44202898550725,156.6284872485929,279.57184423524365
1-24h,v3 + semillas + contexto 336h,CV,47.069196796061185,49.406888672118384,0.0008126788775355713,78.05706521739131,147.83040634885973,275.480013308363
1-24h,v3 + semillas + contexto 336h,desplegable,49.43470772036602,51.315893255653265,0.02241771829998925,79.6875,151.38840516007716,276.512902138914
25-48h,v3 (mismos votantes),CV,64.00186969023187,70.9713798995327,0.0009735134075777428,76.1322463768116,207.70052983917554,373.9674249932803
25-48h,v3 (mismos votantes),desplegable,67.13412146341594,73.32205955345118,0.006546091409914653,76.58514492753623,213.38981393176917,378.6779488144981
25-48h,v3 + semillas + contexto 336h,CV,64.17662756756665,70.9713798995327,0.0014991170515682116,75.95108695652173,207.31232271561137,370.0940981557761
25-48h,v3 + semillas + contexto 336h,desplegable,67.21630999583721,73.32205955345118,0.012690047088765595,77.01539855072464,212.67655267896208,378.1733617403665
49-72h,v3 (mismos votantes),CV,74.68710144774987,85.99357117153427,0.0003122471890730173,76.38134057971014,244.4130054905643,441.77861186918534
49-72h,v3 (mismos votantes),desplegable,79.33613848005405,88.27005413219119,0.011568685919953952,76.24547101449275,248.81452543537608,448.4345960284741
49-72h,v3 + semillas + contexto 336h,CV,74.74701115758425,85.99357117153427,0.0004448994046387862,76.85688405797102,244.31104341487398,437.29065180385226
49-72h,v3 + semillas + contexto 336h,desplegable,79.77671045790963,88.27005413219119,0.0202967194594623,76.51721014492753,250.81977038717278,447.83994393263015
