tramo,conjunto,modo,mae_ridge_orig,mae_ridge_mi20,mae_ridge_lasso6
1-24h,v3 (mismos votantes),CV,47.90573381290295,47.43101334860927,47.66329604479639
1-24h,v3 (mismos votantes),desplegable,50.25784094937573,49.68855397063022,49.938100183220186
1-24h,v3 + semillas + contexto 336h,CV,47.069196796061185,46.822795488494314,46.95933166037876
1-24h,v3 + semillas + contexto 336h,desplegable,49.43470772036602,49.2434585054074,49.331243220932365
25-48h,v3 (mismos votantes),CV,64.00186969023187,63.56734371333788,64.17354821674769
25-48h,v3 (mismos votantes),desplegable,67.13412146341594,66.47555352728253,67.12390767252984
25-48h,v3 + semillas + contexto 336h,CV,64.17662756756665,63.70936421829433,64.23688664761066
25-48h,v3 + semillas + contexto 336h,desplegable,67.21630999583721,66.59837464276346,66.95998673551045
49-72h,v3 (mismos votantes),CV,74.68710144774987,74.39321558948922,74.96633749337869
49-72h,v3 (mismos votantes),desplegable,79.33613848005405,79.07190901697903,79.47059083738851
49-72h,v3 + semillas + contexto 336h,CV,74.74701115758425,74.49174337864591,75.16812107950997
49-72h,v3 + semillas + contexto 336h,desplegable,79.77671045790963,79.36323713381212,79.87531692334888
