tramo,config,MAE,MAPE,sMAPE
25-48h,"A  4 votantes, pesos por tramo (vigente)",62.56041832550559,18.294101333638213,16.525643657003073
25-48h,"B  4 votantes, pesos por PASO",62.60216318595123,18.468618275879052,16.68504843517989
25-48h,"C  4 votantes, pesos por bloque de 6",62.51507058412951,18.378737402582875,16.613853643735652
25-48h,"D  + arboles especialistas, por tramo",62.903387127457954,18.307657888955507,16.557981209406005
25-48h,"E  + arboles especialistas, por PASO",62.63556234431334,18.436385032178325,16.69770190969905
25-48h,"F  + arboles especialistas, comb. sMAPE",62.80136065451486,18.353792844683937,16.59106767531705
25-48h,G  + arboles generalistas (control),62.91020350419679,18.402650422608726,16.603067481568313
49-72h,"A  4 votantes, pesos por tramo (vigente)",72.86871105655062,21.6936689570253,19.440433405277936
49-72h,"B  4 votantes, pesos por PASO",73.12360935937559,21.778188343658268,19.566573347168255
49-72h,"C  4 votantes, pesos por bloque de 6",73.13336553389763,21.758266850478925,19.534799144465172
49-72h,"D  + arboles especialistas, por tramo",72.49365624526251,21.590042015470438,19.256240567702196
49-72h,"E  + arboles especialistas, por PASO",72.9407222919017,21.762912939859426,19.49014061197463
49-72h,"F  + arboles especialistas, comb. sMAPE",72.60630917341783,21.6611545033955,19.306607622076957
49-72h,G  + arboles generalistas (control),72.79045105333955,21.62618164904015,19.34163190422897
