modo,tramo,ensamble,MAE,RMSE,MAPE_%,sMAPE_%,R2,n
CV,1-24h,vigente (7 votantes),47.90573381290295,89.61368628499483,13.402509624948028,12.461949322454359,0.89818095075387,5136
CV,1-24h,"nuevo (LEAR+2 redes+naive, 4)",46.43441591189133,87.77500589949494,13.02605142985796,12.010723390726262,0.9023163031815203,5136
CV,25-48h,vigente (7 votantes),64.00186969023187,108.57335603433498,18.568936584392482,16.934680131148706,0.8536641228444349,5136
CV,25-48h,"nuevo (LEAR+2 redes+naive, 4)",62.56041832550559,106.5970893123458,18.294101333638213,16.525643657003073,0.8589428895295199,5136
CV,49-72h,vigente (7 votantes),74.68710144774987,122.18933372278812,21.926801680451877,19.829754130177967,0.8185493075287289,5136
CV,49-72h,"nuevo (LEAR+2 redes+naive, 4)",72.86871105655062,119.86730476291937,21.6936689570253,19.440433405277936,0.8253801876897122,5136
desplegable,1-24h,vigente (7 votantes),50.25784094937573,92.58019775879542,13.69520722763012,12.716477034624972,0.8956987416215688,4776
desplegable,1-24h,"nuevo (LEAR+2 redes+naive, 4)",48.60248964110092,90.70357079053097,13.16445867836771,12.171885311693757,0.8998843182656979,4776
desplegable,25-48h,vigente (7 votantes),67.13412146341594,112.56024227501594,19.03253224225862,17.438738683658283,0.8483357111225591,4752
desplegable,25-48h,"nuevo (LEAR+2 redes+naive, 4)",65.56425041196712,110.50833123757785,18.60485665777744,16.836023041124268,0.8538148235553906,4752
desplegable,49-72h,vigente (7 votantes),79.33613848005405,127.67005068611904,22.16776327668897,20.488114303234315,0.8081723338765527,4728
desplegable,49-72h,"nuevo (LEAR+2 redes+naive, 4)",76.19213989826925,124.55752930982382,21.5341893260647,19.53346157678468,0.8174116132049937,4728
