conjunto,MAE,MAPE,sMAPE,p_vs_v4,p_vs_v4_garcht
v4 + GARCH-t,41.46247382631011,10.892281966271781,10.085499544219381,0.004399253133873193,
v4 + GARCH-skewt,42.75221486341103,11.329251710059069,10.458076245504804,0.18948122595313477,3.40894504138301e-06
v4 + GARCH-ged,41.3966254303844,10.870414019655906,10.07219908678645,0.0019125265739126263,0.16645176969272069
v4 + GJR-t,42.13494986694897,11.213802408209322,10.3746619960277,0.22553612740858842,4.711957980990988e-11
v4 + GJR-skewt,42.47278591579249,11.285219606220638,10.488334086842315,0.891269774323155,2.480665678738627e-06
v4 + EGARCH-t,41.46329396869932,10.928402967703336,10.091720918340355,0.00280425984829158,0.9930345828247013
v4 + EGARCH-skewt,41.48130037056443,10.932846224570886,10.09710958053716,0.0033924593444054456,0.884082982911202
v4 + SV-t (aprox),42.42205487186979,11.230300317993336,10.354187936085294,0.6074637642082601,0.0008094839545676906
v4 + GARCH-t + GJR-skewt,41.41107593940466,10.86692513997589,10.060636640650472,0.004668434806028914,0.4079477384138699
v4 + GARCH-t + SV-t,41.47222501833817,10.882437707602584,10.083324424742491,0.005778793920992753,0.8283783535307767
v4 + GARCH-t + EGARCH-t,41.47649851712382,10.888879165633014,10.083369280163415,0.004848907347220669,0.5274113031224559
v4 + GARCH-t + GJR-skewt + SV-t,41.444044655564156,10.872662200571389,10.067671167387884,0.006584195540134018,0.7918953609398632
v4 + las 8 variantes,41.44188639206536,10.865091717232234,10.062484364812658,0.0068591578283184185,0.7785658556707713
