ventana,semilla,mae,rmse,mape,mae_festivos,segundos
1a,42,68.17053554675874,116.6842030419058,19.53001966737509,68.48083604657491,209.5607407093048
1a,7,69.43995104298628,122.31056680896162,19.183179395142325,73.16227143582663,204.92919969558716
2a,42,63.23784580975323,106.51213639612547,18.461786997530822,87.415167798428,205.81864213943481
2a,7,63.139562497421714,104.43375700625246,18.291663603717858,75.32902227459378,205.8967981338501
3a,42,58.619380221398934,101.7610085148245,16.478119782955776,71.32394547921075,201.61419248580933
3a,7,59.118582476846484,102.82695921672436,16.89225092689679,75.04730124560886,199.8106243610382
5a,42,56.43605702656407,97.46141965460525,16.34565280442641,65.12784538176642,201.70511984825134
5a,7,56.70754528893584,99.29476922699327,16.26392732183949,73.87162170611062,200.901349067688
completa,42,55.60398709154541,99.74480367121427,15.97320322797903,58.7777259610155,201.18791937828064
completa,7,57.036702003757696,99.67025877560835,16.172552163976203,58.76423335973103,202.2740125656128
