config,semilla,mae,rmse,mape,mae_festivos,mae_no_festivos,segundos
BASE,42,56.10622150834466,100.91666283172208,15.929163809208347,68.20678403762818,55.3978958968744,151.57737851142883
BASE,7,56.23938218474217,101.41313640238992,16.173933733736494,72.42918397601656,55.29168647013099,137.97581505775452
BASE,2024,57.05736289538124,99.6000874823521,16.626793256947618,77.91821088093226,55.83624008647094,153.23484420776367
CON_FESTIVOS,42,55.60398709154541,99.74480367121429,15.97320322797903,58.7777259610155,55.41820725528376,193.52818489074707
CON_FESTIVOS,7,57.036702003757696,99.67025877560836,16.172552163976203,58.76423335973103,56.93557821706657,218.2478723526001
CON_FESTIVOS,2024,57.37809832213465,99.5573550046936,17.00812398364251,72.23740324236552,56.50828535119431,222.4846823215485
BASE,13,57.5632616168555,100.43005991397949,16.7721267508999,74.84615307696873,56.55158016553181,158.3426856994629
BASE,99,56.61871342996014,99.82678836224234,16.752676162362807,76.94518466724818,55.42887121119206,151.58131647109985
CON_FESTIVOS,13,55.32871773314071,96.8443233816034,16.316488335457485,65.08832847698635,54.757423445696084,210.47114276885986
CON_FESTIVOS,99,57.26336403503277,101.55165863373507,16.69154378586442,58.372653877300685,57.19842999548539,209.18717885017395
