ds,y,NBEATSx,ventana,semilla
2026-01-01 00:00:00,327.90985,261.16232,1a,42
2026-01-01 01:00:00,307.90985,245.24684,1a,42
2026-01-01 02:00:00,296.32185,241.46683,1a,42
2026-01-01 03:00:00,296.32185,241.03209,1a,42
2026-01-01 04:00:00,296.32185,236.37874,1a,42
2026-01-01 05:00:00,296.32185,240.03346,1a,42
2026-01-01 06:00:00,296.32185,238.82947,1a,42
2026-01-01 07:00:00,296.32185,239.96799,1a,42
2026-01-01 08:00:00,272.90985,246.237,1a,42
2026-01-01 09:00:00,104.99185,251.55089,1a,42
2026-01-01 10:00:00,103.53785,259.73444,1a,42
2026-01-01 11:00:00,244.80985,261.14706,1a,42
2026-01-01 12:00:00,272.90985,270.97815,1a,42
2026-01-01 13:00:00,292.90985,272.1781,1a,42
2026-01-01 14:00:00,296.32185,272.10773,1a,42
2026-01-01 15:00:00,296.32185,293.53885,1a,42
2026-01-01 16:00:00,296.32185,315.17593,1a,42
2026-01-01 17:00:00,327.90985,306.42337,1a,42
2026-01-01 18:00:00,332.90985,309.98013,1a,42
2026-01-01 19:00:00,332.90985,317.84146,1a,42
2026-01-01 20:00:00,332.90985,309.35843,1a,42
2026-01-01 21:00:00,332.90985,313.60382,1a,42
2026-01-01 22:00:00,332.90985,283.6996,1a,42
2026-01-01 23:00:00,327.90985,272.14478,1a,42
2026-01-02 00:00:00,329.20101,293.1239,1a,42
2026-01-02 01:00:00,326.20101,273.14014,1a,42
2026-01-02 02:00:00,326.20101,261.80566,1a,42
2026-01-02 03:00:00,329.20101,276.59875,1a,42
2026-01-02 04:00:00,326.20101,277.23242,1a,42
2026-01-02 05:00:00,329.20101,273.45346,1a,42
2026-01-02 06:00:00,329.20101,282.29962,1a,42
2026-01-02 07:00:00,329.20101,283.46072,1a,42
2026-01-02 08:00:00,329.20101,279.5115,1a,42
2026-01-02 09:00:00,326.20101,280.51904,1a,42
2026-01-02 10:00:00,326.20101,280.30478,1a,42
2026-01-02 11:00:00,329.20101,281.6908,1a,42
2026-01-02 12:00:00,329.20101,286.22336,1a,42
2026-01-02 13:00:00,329.20101,285.52286,1a,42
2026-01-02 14:00:00,329.20101,295.34836,1a,42
2026-01-02 15:00:00,331.20101,298.84238,1a,42
2026-01-02 16:00:00,331.20101,299.8946,1a,42
2026-01-02 17:00:00,352.17901,313.4799,1a,42
2026-01-02 18:00:00,352.17901,314.3833,1a,42
2026-01-02 19:00:00,352.17901,317.9426,1a,42
2026-01-02 20:00:00,352.17901,333.3905,1a,42
2026-01-02 21:00:00,352.17901,348.6158,1a,42
2026-01-02 22:00:00,352.17901,311.7737,1a,42
2026-01-02 23:00:00,331.20101,296.13455,1a,42
2026-01-03 00:00:00,342.48147,333.82635,1a,42
2026-01-03 01:00:00,342.48147,342.01035,1a,42
2026-01-03 02:00:00,327.48147,346.2475,1a,42
2026-01-03 03:00:00,327.48147,342.92264,1a,42
2026-01-03 04:00:00,327.48147,341.81793,1a,42
2026-01-03 05:00:00,327.48147,336.67273,1a,42
2026-01-03 06:00:00,327.48147,339.3374,1a,42
2026-01-03 07:00:00,327.48147,347.63388,1a,42
2026-01-03 08:00:00,327.48147,348.32016,1a,42
2026-01-03 09:00:00,327.48147,343.12808,1a,42
2026-01-03 10:00:00,327.48147,340.98575,1a,42
2026-01-03 11:00:00,327.48147,340.10623,1a,42
2026-01-03 12:00:00,327.48147,341.62936,1a,42
2026-01-03 13:00:00,327.48147,342.14114,1a,42
2026-01-03 14:00:00,332.48147,358.76056,1a,42
2026-01-03 15:00:00,342.48147,375.20053,1a,42
2026-01-03 16:00:00,352.07947,385.82507,1a,42
2026-01-03 17:00:00,354.48147,394.96075,1a,42
2026-01-03 18:00:00,354.48147,392.49017,1a,42
2026-01-03 19:00:00,354.48147,390.63214,1a,42
2026-01-03 20:00:00,354.48147,390.21786,1a,42
2026-01-03 21:00:00,354.48147,380.56107,1a,42
2026-01-03 22:00:00,352.07947,373.39984,1a,42
2026-01-03 23:00:00,352.07947,365.76126,1a,42
2026-01-04 00:00:00,282.47952,352.19067,1a,42
2026-01-04 01:00:00,282.47952,358.16516,1a,42
2026-01-04 02:00:00,282.47952,357.44476,1a,42
2026-01-04 03:00:00,282.47952,351.77042,1a,42
2026-01-04 04:00:00,282.47952,354.3001,1a,42
2026-01-04 05:00:00,282.47952,355.07202,1a,42
2026-01-04 06:00:00,282.47952,355.10233,1a,42
2026-01-04 07:00:00,282.47952,359.55832,1a,42
2026-01-04 08:00:00,282.47952,360.60944,1a,42
2026-01-04 09:00:00,268.11152,361.60355,1a,42
2026-01-04 10:00:00,268.11152,359.73392,1a,42
2026-01-04 11:00:00,282.47952,362.4556,1a,42
2026-01-04 12:00:00,282.47952,370.84924,1a,42
2026-01-04 13:00:00,282.47952,372.19275,1a,42
2026-01-04 14:00:00,282.47952,380.37415,1a,42
2026-01-04 15:00:00,282.47952,393.10938,1a,42
2026-01-04 16:00:00,330.47952,401.24356,1a,42
2026-01-04 17:00:00,334.47952,401.97116,1a,42
2026-01-04 18:00:00,347.07752,403.51038,1a,42
2026-01-04 19:00:00,347.07752,404.60056,1a,42
2026-01-04 20:00:00,347.07752,401.1794,1a,42
2026-01-04 21:00:00,343.47952,399.96222,1a,42
2026-01-04 22:00:00,342.47952,396.13284,1a,42
2026-01-04 23:00:00,334.47952,392.37762,1a,42
2026-01-05 00:00:00,293.94594,334.28726,1a,42
2026-01-05 01:00:00,293.94594,331.21536,1a,42
2026-01-05 02:00:00,269.57794,333.0376,1a,42
2026-01-05 03:00:00,262.43094,334.09537,1a,42
2026-01-05 04:00:00,269.57794,333.56033,1a,42
2026-01-05 05:00:00,293.94594,333.80063,1a,42
2026-01-05 06:00:00,334.16294,332.5011,1a,42
2026-01-05 07:00:00,334.16294,334.99084,1a,42
2026-01-05 08:00:00,334.16294,335.21768,1a,42
2026-01-05 09:00:00,334.16294,333.4755,1a,42
2026-01-05 10:00:00,334.16294,335.23306,1a,42
2026-01-05 11:00:00,334.16294,333.1212,1a,42
2026-01-05 12:00:00,334.16294,333.1697,1a,42
2026-01-05 13:00:00,338.94594,332.58295,1a,42
2026-01-05 14:00:00,338.94594,333.92517,1a,42
2026-01-05 15:00:00,338.94594,339.09695,1a,42
2026-01-05 16:00:00,338.94594,345.56982,1a,42
2026-01-05 17:00:00,338.94594,356.4464,1a,42
2026-01-05 18:00:00,353.94594,362.02405,1a,42
2026-01-05 19:00:00,353.94594,358.0572,1a,42
2026-01-05 20:00:00,353.94594,348.31177,1a,42
2026-01-05 21:00:00,338.94594,342.4622,1a,42
2026-01-05 22:00:00,338.94594,336.80322,1a,42
2026-01-05 23:00:00,338.94594,333.72,1a,42
2026-01-06 00:00:00,301.18493,328.4684,1a,42
2026-01-06 01:00:00,301.18493,294.97186,1a,42
2026-01-06 02:00:00,301.18493,273.29224,1a,42
2026-01-06 03:00:00,301.18493,263.39734,1a,42
2026-01-06 04:00:00,301.18493,247.02441,1a,42
2026-01-06 05:00:00,312.18493,241.19348,1a,42
2026-01-06 06:00:00,312.18493,257.47415,1a,42
2026-01-06 07:00:00,312.18493,268.90756,1a,42
2026-01-06 08:00:00,312.18493,271.16437,1a,42
2026-01-06 09:00:00,312.18493,276.13116,1a,42
2026-01-06 10:00:00,312.18493,278.61792,1a,42
2026-01-06 11:00:00,312.18493,265.4883,1a,42
2026-01-06 12:00:00,312.18493,245.28592,1a,42
2026-01-06 13:00:00,312.18493,251.34137,1a,42
2026-01-06 14:00:00,312.18493,262.7773,1a,42
2026-01-06 15:00:00,312.18493,270.48267,1a,42
2026-01-06 16:00:00,339.18493,289.97034,1a,42
2026-01-06 17:00:00,339.18493,294.3785,1a,42
2026-01-06 18:00:00,349.60093,281.05753,1a,42
2026-01-06 19:00:00,349.60093,283.81943,1a,42
2026-01-06 20:00:00,339.18493,274.8768,1a,42
2026-01-06 21:00:00,339.18493,273.62936,1a,42
2026-01-06 22:00:00,322.18493,260.44232,1a,42
2026-01-06 23:00:00,312.18493,256.03052,1a,42
2026-01-07 00:00:00,252.71747,297.154,1a,42
2026-01-07 01:00:00,252.71747,258.73428,1a,42
2026-01-07 02:00:00,245.61747,216.44363,1a,42
2026-01-07 03:00:00,245.61747,196.5953,1a,42
2026-01-07 04:00:00,249.61747,193.32303,1a,42
2026-01-07 05:00:00,252.71747,200.24088,1a,42
2026-01-07 06:00:00,252.71747,210.30177,1a,42
2026-01-07 07:00:00,252.71747,221.87674,1a,42
2026-01-07 08:00:00,252.71747,214.41197,1a,42
2026-01-07 09:00:00,245.61747,225.40126,1a,42
2026-01-07 10:00:00,249.61747,236.56866,1a,42
2026-01-07 11:00:00,252.71747,238.242,1a,42
2026-01-07 12:00:00,252.71747,242.59619,1a,42
2026-01-07 13:00:00,252.71747,238.03503,1a,42
2026-01-07 14:00:00,261.20247,254.05374,1a,42
2026-01-07 15:00:00,292.71747,264.08405,1a,42
2026-01-07 16:00:00,292.71747,275.99252,1a,42
2026-01-07 17:00:00,312.71747,272.89285,1a,42
2026-01-07 18:00:00,328.20947,275.36786,1a,42
2026-01-07 19:00:00,328.20947,276.1327,1a,42
2026-01-07 20:00:00,328.20947,276.74564,1a,42
2026-01-07 21:00:00,321.71747,287.96237,1a,42
2026-01-07 22:00:00,312.71747,279.14594,1a,42
2026-01-07 23:00:00,292.71747,252.61539,1a,42
2026-01-08 00:00:00,108.19992,276.2178,1a,42
2026-01-08 01:00:00,108.19992,261.7698,1a,42
2026-01-08 02:00:00,108.19992,261.23178,1a,42
2026-01-08 03:00:00,108.19992,268.47128,1a,42
2026-01-08 04:00:00,118.19992,260.0515,1a,42
2026-01-08 05:00:00,156.68492,267.2579,1a,42
2026-01-08 06:00:00,118.19992,270.78348,1a,42
2026-01-08 07:00:00,118.19992,266.01886,1a,42
2026-01-08 08:00:00,118.19992,265.92657,1a,42
2026-01-08 09:00:00,108.19992,265.389,1a,42
2026-01-08 10:00:00,118.19992,274.28104,1a,42
2026-01-08 11:00:00,156.68492,280.8783,1a,42
2026-01-08 12:00:00,228.19992,293.1532,1a,42
2026-01-08 13:00:00,118.19992,297.46942,1a,42
2026-01-08 14:00:00,238.19992,301.86374,1a,42
2026-01-08 15:00:00,270.19992,305.39676,1a,42
2026-01-08 16:00:00,270.19992,310.8251,1a,42
2026-01-08 17:00:00,288.19992,305.29596,1a,42
2026-01-08 18:00:00,288.19992,302.6491,1a,42
2026-01-08 19:00:00,288.19992,311.455,1a,42
2026-01-08 20:00:00,288.19992,315.66888,1a,42
2026-01-08 21:00:00,288.19992,317.33173,1a,42
2026-01-08 22:00:00,270.19992,308.88724,1a,42
2026-01-08 23:00:00,270.19992,307.28592,1a,42
2026-01-09 00:00:00,148.95631,157.98724,1a,42
2026-01-09 01:00:00,124.95631,134.55014,1a,42
2026-01-09 02:00:00,124.95631,140.13104,1a,42
2026-01-09 03:00:00,124.95631,148.52432,1a,42
2026-01-09 04:00:00,148.95631,160.24182,1a,42
2026-01-09 05:00:00,148.95631,176.80438,1a,42
2026-01-09 06:00:00,209.95631,181.27023,1a,42
2026-01-09 07:00:00,209.95631,169.59058,1a,42
2026-01-09 08:00:00,148.95631,173.3515,1a,42
2026-01-09 09:00:00,124.95631,164.39035,1a,42
2026-01-09 10:00:00,124.95631,170.39539,1a,42
2026-01-09 11:00:00,148.95631,176.67068,1a,42
2026-01-09 12:00:00,148.95631,171.0528,1a,42
2026-01-09 13:00:00,209.95631,172.46619,1a,42
2026-01-09 14:00:00,249.95631,208.85446,1a,42
2026-01-09 15:00:00,249.95631,238.05324,1a,42
2026-01-09 16:00:00,249.95631,252.23059,1a,42
2026-01-09 17:00:00,249.95631,239.87694,1a,42
2026-01-09 18:00:00,279.95631,231.59085,1a,42
2026-01-09 19:00:00,279.95631,242.1427,1a,42
2026-01-09 20:00:00,279.95631,223.52258,1a,42
2026-01-09 21:00:00,249.95631,244.22661,1a,42
2026-01-09 22:00:00,249.95631,248.30147,1a,42
2026-01-09 23:00:00,228.85631,204.4155,1a,42
2026-01-10 00:00:00,176.78564,191.02368,1a,42
2026-01-10 01:00:00,176.78564,179.49289,1a,42
2026-01-10 02:00:00,165.78564,182.31705,1a,42
2026-01-10 03:00:00,165.78564,188.17775,1a,42
2026-01-10 04:00:00,165.78564,184.81348,1a,42
2026-01-10 05:00:00,176.78564,196.86505,1a,42
2026-01-10 06:00:00,176.78564,194.8375,1a,42
2026-01-10 07:00:00,176.78564,191.16748,1a,42
2026-01-10 08:00:00,151.78564,196.60019,1a,42
2026-01-10 09:00:00,113.86764,183.09387,1a,42
2026-01-10 10:00:00,113.86764,188.84589,1a,42
2026-01-10 11:00:00,151.78564,191.84917,1a,42
2026-01-10 12:00:00,151.78564,188.16086,1a,42
2026-01-10 13:00:00,151.78564,186.73895,1a,42
2026-01-10 14:00:00,176.78564,214.84149,1a,42
2026-01-10 15:00:00,176.78564,235.4137,1a,42
2026-01-10 16:00:00,214.78564,234.90128,1a,42
2026-01-10 17:00:00,276.78564,229.89624,1a,42
2026-01-10 18:00:00,276.78564,219.43776,1a,42
2026-01-10 19:00:00,276.78564,227.92696,1a,42
2026-01-10 20:00:00,276.78564,223.07983,1a,42
2026-01-10 21:00:00,276.78564,228.09737,1a,42
2026-01-10 22:00:00,276.78564,244.57135,1a,42
2026-01-10 23:00:00,214.78564,219.57762,1a,42
2026-01-11 00:00:00,119.10337,208.16913,1a,42
2026-01-11 01:00:00,116.18537,199.41475,1a,42
2026-01-11 02:00:00,116.18537,206.27425,1a,42
2026-01-11 03:00:00,116.18537,205.48225,1a,42
2026-01-11 04:00:00,116.18537,204.75995,1a,42
2026-01-11 05:00:00,116.18537,203.84906,1a,42
2026-01-11 06:00:00,116.18537,197.18472,1a,42
2026-01-11 07:00:00,114.73137,202.12941,1a,42
2026-01-11 08:00:00,110.59537,196.02196,1a,42
2026-01-11 09:00:00,110.59537,194.33495,1a,42
2026-01-11 10:00:00,110.59537,194.42497,1a,42
2026-01-11 11:00:00,110.59537,192.52095,1a,42
2026-01-11 12:00:00,112.10337,201.40117,1a,42
2026-01-11 13:00:00,116.17837,197.92119,1a,42
2026-01-11 14:00:00,116.18537,202.70935,1a,42
2026-01-11 15:00:00,116.18537,214.82388,1a,42
2026-01-11 16:00:00,119.10337,217.1437,1a,42
2026-01-11 17:00:00,119.10337,220.86346,1a,42
2026-01-11 18:00:00,154.10337,216.82149,1a,42
2026-01-11 19:00:00,219.10337,233.7087,1a,42
2026-01-11 20:00:00,154.10337,233.06276,1a,42
2026-01-11 21:00:00,154.10337,235.25049,1a,42
2026-01-11 22:00:00,124.10337,248.09943,1a,42
2026-01-11 23:00:00,119.10337,230.44618,1a,42
2026-01-12 00:00:00,117.87734,119.00987,1a,42
2026-01-12 01:00:00,113.88434,118.21969,1a,42
2026-01-12 02:00:00,113.88434,119.30611,1a,42
2026-01-12 03:00:00,113.88434,117.890915,1a,42
2026-01-12 04:00:00,113.88434,118.24994,1a,42
2026-01-12 05:00:00,113.88434,118.77724,1a,42
2026-01-12 06:00:00,113.88434,119.014366,1a,42
2026-01-12 07:00:00,113.88434,119.09247,1a,42
2026-01-12 08:00:00,113.46634,122.015045,1a,42
2026-01-12 09:00:00,113.46634,120.76683,1a,42
2026-01-12 10:00:00,113.46634,120.41685,1a,42
2026-01-12 11:00:00,151.38434,117.63251,1a,42
2026-01-12 12:00:00,151.38434,119.35111,1a,42
2026-01-12 13:00:00,196.38434,120.82774,1a,42
2026-01-12 14:00:00,196.38434,122.67732,1a,42
2026-01-12 15:00:00,196.38434,123.79359,1a,42
2026-01-12 16:00:00,206.38434,124.85282,1a,42
2026-01-12 17:00:00,206.38434,128.49098,1a,42
