variante,mae_forma,mae_rampa,mae_pico
K=6 ar,44.50737044675321,93.68239938445154,62.16235683456883
K=4 ar,44.64150640427376,93.26088314159227,62.403893130489486
K=3 ar,44.7196938301862,93.5707993366877,62.56328256622535
K=2 ar,46.07448846315116,94.19757614087082,65.69401433239906
K=1 ar,46.7707227122543,93.55783210759952,65.46189385713681
K=1 exog,50.13798002855624,107.08148297196695,72.5575619930094
K=1 exog x dow,50.70004273249,102.55314799256044,72.7574187768728
K=2 exog x dow,52.87598476582344,101.38559287337742,74.53468614800497
K=4 exog,52.95071182613468,105.28536278737269,74.88156925089805
K=6 exog,53.052171797635694,104.82922016099535,74.54792513191441
K=3 exog,53.05228297481571,105.3872485180097,74.60707389932722
K=1 ar x dow,53.06191456275598,103.13301400546186,78.51368795676059
K=2 exog,53.06895235647574,105.81416962464803,74.77215969606087
K=3 exog x dow,53.32169486622566,101.06518027590333,75.12444806946927
K=6 exog x dow,53.501855419383105,100.90704727735222,75.88908432767266
K=4 exog x dow,53.5196823610451,101.06926830746343,75.68221225914137
K=3 ar x dow,54.01600201546775,104.84092519502003,78.89999244125292
K=2 ar x dow,54.016723926947535,104.07074621117103,79.1067201375752
K=4 ar x dow,54.3408467099168,105.66924955834719,78.88037924575289
K=6 ar x dow,54.43241696258181,105.42359407013693,78.8901704176379
K=6 media x dow,59.90019446964751,109.20552537381482,90.42865073862127
K=2 media x dow,59.90019446964751,109.20552537381482,90.42865073862127
K=4 media x dow,59.90019446964751,109.20552537381482,90.42865073862127
K=1 media x dow,59.90019446964752,109.20552537381482,90.42865073862127
K=3 media x dow,59.90019446964752,109.20552537381482,90.42865073862127
K=3 media,60.525513520251224,111.76455599459472,91.07115889107703
K=1 media,60.525513520251224,111.76455599459472,91.07115889107703
K=2 media,60.525513520251224,111.76455599459472,91.07115889107703
K=4 media,60.525513520251224,111.76455599459472,91.07115889107703
K=6 media,60.525513520251224,111.76455599459472,91.07115889107703
