horizonte,rol,metodo,ventaja_cop_kwh,frecuencia_accion,horas_accion,valido,ganador
24h,generador,banda,345.6437850980312,0.16897081413210446,880,True,True
24h,generador,fijo,313.3418987482449,0.37557603686635943,1956,True,False
24h,generador,rodante,244.07966629292974,0.2935867895545315,1529,True,False
24h,comercializador,banda,281.6289311778604,0.1434331797235023,747,True,True
24h,comercializador,fijo,281.42418225105985,0.14400921658986174,750,True,False
24h,comercializador,rodante,169.5769710215862,0.14592933947772657,760,True,False
72h,generador,banda,299.7318182181112,0.19521604938271606,1012,True,True
72h,generador,fijo,278.55183824102375,0.41030092592592593,2127,False,False
72h,generador,rodante,203.9096512969623,0.30844907407407407,1599,True,False
72h,comercializador,banda,279.4659199433317,0.11824845679012345,613,True,True
72h,comercializador,fijo,279.1809208368714,0.11863425925925926,615,True,False
72h,comercializador,rodante,156.77559686765449,0.16068672839506173,833,True,False
