origen,modelo,MAE,MAPE,inicio,fin,n,DM_t,DM_p_bilateral
Origen 1,ARX+GARCH,50.88371729694092,31.074578118436047,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,-23.494481618049647,4.6445183795640685e-122
Origen 1,N-BEATSx,25.78655082799708,16.48340671539413,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,-12.785392758213899,1.9786071761243285e-37
Origen 1,N-HiTS,55.3770317929892,34.39200612849111,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,-24.414094242494624,1.2117015997353253e-131
Origen 1,Persistencia,16.80302599086758,10.15664048542919,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,,
Origen 1,XGBoost,18.254494341635507,11.522599217972191,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,-3.498708097945117,0.00046751810407719873
Origen 2,ARX+GARCH,19.509874952301757,9.896773751326066,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,-3.152333457159667,0.0016197118822253173
Origen 2,N-BEATSx,17.17414532335506,9.370602752314019,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,0.6149313268922595,0.5386000733628882
Origen 2,N-HiTS,17.855218516313247,9.589480122140506,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,-0.5696924068230912,0.5688863410290408
Origen 2,Persistencia,17.5189196369863,9.196218970011328,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,,
Origen 2,XGBoost,24.13826309755453,11.567952446561403,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,-4.742332175367646,2.112718312525688e-06
Origen 3,ARX+GARCH,49.738880946869045,15.646392890308643,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,-7.615779501170299,2.621048032792583e-14
Origen 3,N-BEATSx,40.218626359702746,14.154351201142942,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,-0.4229477504784595,0.6723333828442775
Origen 3,N-HiTS,37.97296622638943,13.341893688879978,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,1.658959709428245,0.09712391140048471
Origen 3,Persistencia,39.74940643835617,14.24712343558387,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,,
Origen 3,XGBoost,59.59824735834242,16.5921078618761,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,-6.634084113138286,3.265235999601757e-11
Origen 4,ARX+GARCH,80.80345813910841,17.13115217328343,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,-7.870689475659952,3.5269206131585845e-15
Origen 4,N-BEATSx,66.3550010643874,16.630944981709238,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,0.6008641696116508,0.5479304597037568
Origen 4,N-HiTS,68.46577653555754,16.84481208481024,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,-0.7029598022738975,0.4820808008500117
Origen 4,Persistencia,67.18841359289618,16.35117289357167,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,,
Origen 4,XGBoost,133.98581794625565,22.24679696981553,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,-9.6573676494075,4.574675337648888e-22
Origen 5,ARX+GARCH,102.63870093284179,20.496303585632965,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,-1.2624648095062154,0.20678158131309432
Origen 5,N-BEATSx,104.58574363192706,21.41712176898328,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,-1.3091409730074979,0.1904866023942896
Origen 5,N-HiTS,103.05107261703922,22.320121662352737,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,-0.7463432378045081,0.45546009864016657
Origen 5,Persistencia,101.25249744292236,20.66754323634661,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,,
Origen 5,XGBoost,135.4650824365887,20.358504286692764,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,-3.305877957596149,0.0009467931624764153
Origen 6,ARX+GARCH,55.833139118272214,15.479561023107335,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,1.4125777706889178,0.1577799089275428
Origen 6,N-BEATSx,45.1479150527761,11.775693284554729,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,5.127354877173867,2.938413216921861e-07
Origen 6,N-HiTS,46.42138736803973,12.476158668543572,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,4.158012634934504,3.210282718749543e-05
Origen 6,Persistencia,56.399836739969146,15.806792656453652,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,,
Origen 6,XGBoost,61.38880611698999,15.967754348912905,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,-2.9856099906126325,0.002830133385989505
