ensamble,n_ventanas,mae,rmse,mape,n_obs
56d+84d+1456d,3,74.9383427844381,122.94669152550833,21.25044705474839,5208
56d+84d+365d+728d+1456d,5,74.9734933896399,119.40044231335844,21.813332587854255,5208
56d+365d+1456d,3,74.99637318666991,124.17589875748041,21.216671401779102,5208
56d+84d+365d+1456d,4,75.33145357548852,130.149163962795,20.649811136557222,5208
56d+84d+728d,3,75.56756394407014,122.11544349631028,21.591208525646525,5208
56d+84d+365d+728d,4,75.57105737442528,128.40568709180235,20.87100589988413,5208
56d+365d+728d,3,75.64345198944498,122.60262995314501,21.59931098004788,5208
56d+84d+365d+1456d+completa,5,75.78210513643428,121.62845951961019,21.294152365960645,5208
56d+84d+365d+728d+completa,5,76.02750747039639,120.84094138447362,21.481310247384812,5208
56d+84d+365d+completa,4,76.35934941884463,131.00588597414637,20.286341788311077,5208
56d+365d+728d+1456d,4,76.37507431230418,116.48764416449102,22.87598552202103,5208
56d+365d+completa,3,76.69728921377724,126.07971057532357,20.744888330926,5208
56d+1456d,2,76.9897901205446,117.92641768247952,22.78109760950671,5208
56d+84d+728d+1456d,4,77.04061688570377,117.55677247616244,22.876159296983943,5208
56d+84d+365d+728d+1456d+completa,6,77.13030429728231,118.13134410114276,22.42283369725364,5208
56d+84d+completa,3,77.18355533278134,125.81642657314914,20.787282169952885,5208
56d+365d+1456d+completa,4,77.36453695764466,119.24900508190825,22.191417064565726,5208
84d+365d+728d+1456d,4,77.45060998199277,119.06959757074836,23.006592572078375,5208
84d+1456d,2,77.57052276116939,120.2441786263385,22.752269609871494,5208
84d+365d+1456d,3,77.61094684057466,130.5517969888723,21.54013276083095,5208
56d+365d+728d+completa,4,77.95527204324392,118.97210464633413,22.481475865045947,5208
84d+365d+728d,3,78.039807189235,128.46532606552805,21.87311934800215,5208
56d+84d+1456d+completa,4,78.4017906674184,120.41721938036021,22.212025567811395,5208
84d+365d+1456d+completa,4,78.58532321649079,121.9157808604347,22.38408001001076,5208
56d+84d+728d+completa,4,78.95989855495138,120.57424191247998,22.48526908540944,5208
84d+365d+728d+completa,4,79.0587169799097,121.29258553295203,22.651414270880373,5208
84d+728d,2,79.1006228901707,120.77866989168079,23.395849402600746,5208
56d+728d,2,79.14412248727915,119.9077801841099,23.547763833789094,5208
84d+365d+completa,3,79.32767942464275,132.02323462597644,21.151848910509727,5208
56d+365d+728d+1456d+completa,5,79.82236316316207,118.8294513452494,23.584726043449763,5208
365d+1456d,2,80.23266816284689,125.98266411480597,23.356351962959035,5208
84d+365d+728d+1456d+completa,5,80.42604878216466,119.73557292824663,23.687452814676003,5208
56d+84d,2,80.79290343689183,151.01318774217606,20.553780494834907,5208
56d+84d+728d+1456d+completa,5,80.91294907081188,120.70263077637239,23.594763751844454,5208
56d+completa,2,81.62368341761164,125.2594087295072,22.15848759036558,5208
365d+728d,2,81.6937744123004,124.84084984760486,24.057308436925698,5208
56d,1,81.7852716085414,146.89965198939433,21.199601022586794,5208
365d+728d+1456d,3,81.88099504857422,120.12770023457446,25.239490252010498,5208
84d+completa,2,82.19717086991423,126.6462363272561,22.291787769782513,5208
84d+728d+1456d,3,82.19835489528857,120.62870613111733,24.99724450343475,5208
56d+84d+365d,3,82.39975756251563,156.52418279620053,20.268742025234673,5208
56d+728d+1456d,3,82.95924579107809,121.85572903228069,25.139140835269778,5208
56d+365d,2,83.3395718749023,157.34548097824594,20.387396902174732,5208
365d+completa,2,83.47126320813406,130.0691657262133,22.822970925387285,5208
365d+1456d+completa,3,83.52341123143673,123.75605313839452,24.362663980937857,5208
84d+1456d+completa,3,84.23392883002867,124.45514925313192,24.124183998050412,5208
365d+728d+completa,3,84.48261586441063,124.33525240289556,24.800541862979934,5208
56d+1456d+completa,3,84.79972704462409,125.39741703116081,24.160135722237822,5208
84d+728d+completa,3,85.46424836394024,125.76692737500674,24.57713586047786,5208
84d,1,86.11143614455258,165.23876295708396,21.3390561747666,5208
365d+728d+1456d+completa,4,86.23680313231614,125.3450743716123,25.786086197457593,5208
56d+728d+completa,3,86.37948010981887,127.29858906884557,24.67452733441446,5208
84d+728d+1456d+completa,4,87.77028363620681,127.3973543096015,25.713209433072066,5208
56d+728d+1456d+completa,4,88.86625331864,129.1041541702079,25.831166374666303,5208
84d+365d,2,88.91999561134124,171.14592700736773,21.040455243420144,5208
1456d,1,100.3655794603868,140.55171382870958,30.114031103276893,5208
365d,1,101.93265246072016,195.01874682143742,22.853343202864316,5208
728d+1456d,2,104.43543392116557,146.47865871649313,31.206279537377075,5208
728d+1456d+completa,3,107.37056781007846,150.73005458141444,30.457667264391127,5208
1456d+completa,2,107.39881858971921,151.04141380811205,29.700524805623647,5208
728d,1,109.63417958160888,154.88186622472963,32.55816250898401,5208
728d+completa,2,111.20295292872912,156.46602438559603,30.72439317745779,5208
completa,1,115.79532320348342,163.66236828847516,29.73980095025956,5208
