tramo,config,MAE,MAPE,sMAPE
1-24h,"nuevo 72h (4 votantes, LAD)",46.43441591189133,13.02605142985796,12.010723390726262
1-24h,"+ GARCH-t (5 votantes, LAD)",46.109712979714764,12.78874208494647,11.744972974109515
1-24h,"4 votantes, combinador sMAPE",46.45823338784865,13.041545159450262,12.019394685563881
1-24h,+ GARCH-t y combinador sMAPE,46.3460101672127,12.811861450258197,11.74024148222043
25-48h,"nuevo 72h (4 votantes, LAD)",62.56041832550559,18.294101333638213,16.525643657003073
25-48h,"+ GARCH-t (5 votantes, LAD)",62.711096318473196,18.289321661135972,16.504709460975832
25-48h,"4 votantes, combinador sMAPE",62.523696787821635,18.343817163787186,16.549925079326854
25-48h,+ GARCH-t y combinador sMAPE,63.30208738275944,18.216152053768358,16.362259112493085
49-72h,"nuevo 72h (4 votantes, LAD)",72.86871105655062,21.6936689570253,19.440433405277936
49-72h,"+ GARCH-t (5 votantes, LAD)",72.86871105655062,21.693668957025295,19.44043340527794
49-72h,"4 votantes, combinador sMAPE",73.01923323615041,21.746857181243623,19.453769009979982
49-72h,+ GARCH-t y combinador sMAPE,74.26539856434339,21.501748372195053,19.267471148691012
