modelo,mae,mape,smape,r2,n
24h: Persistencia,56.39987661330762,15.807073477216207,14.769386336085208,0.8453568177870843,5185
24h: XGBoost,61.39044052055914,15.9686662482213,15.261405243397629,0.8580070640371615,5185
24h: ARX+GARCH,55.83153936339182,15.479371600012792,14.55724770477486,0.8515107538224982,5185
24h: N-BEATSx,,,,,5185
24h: N-HiTS,,,,,5185
"24h: Ensamble v1 (NNLS, 5 modelos)",44.51303295869662,12.053609867699818,11.011100125277235,0.9086172479556722,5184
"24h: Ensamble v4 (QRA por franja, desplegable)",42.506472848317024,11.266358542609574,10.378951158961437,0.9102464638038028,5184
"24h: Ensamble v4 (QRA por franja, CV)",42.506472848317024,11.266358542609574,10.378951158961437,0.9102464638038028,5184
24h: Naive-168h (semana pasada),123.68234441272902,36.77260232113338,34.44072758443487,0.6046493406820965,5185
72h tramo 1-24h: N-BEATSx (linea base),49.406888672118384,13.83165528321523,12.798451911521008,0.8930304949347923,5136
72h tramo 1-24h: Ridge directo,61.01363528539105,17.12167794485186,16.832221826226323,0.8675370286014757,5136
72h tramo 25-48h: N-BEATSx (linea base),70.9713798995327,20.78234273496337,18.52054905246822,0.8337566938030956,5136
72h tramo 25-48h: Ridge directo,71.98885879219874,20.29924386131586,19.78382947023282,0.8221840762054912,5136
72h tramo 49-72h: N-BEATSx (linea base),85.99357117153427,25.633628343873642,22.52641177932577,0.7850554601268547,5136
72h tramo 49-72h: Ridge directo,82.1349401572626,23.506880501319603,22.905989732588765,0.7847560168287271,5136
72h tramo 1-24h: Ensamble (CV),47.90573381290295,13.402509624948031,12.461949322454359,0.89818095075387,5136
72h tramo 25-48h: Ensamble (CV),64.00186969023187,18.568936584392482,16.934680131148706,0.8536641228444349,5136
72h tramo 49-72h: Ensamble (CV),74.68710144774987,21.92680168045188,19.829754130177967,0.8185493075287289,5136
