origen,inicio,fin,n,C0,referencia,variante,MAE_ref,MAE_not,MAPE_ref,MAPE_not,RMSE_ref,RMSE_not,DM_p
Origen 1,2020-07-01,2021-06-30,8760,507,ARX Win(507),ARX NOT(507),15.234753212180788,14.94099874877917,9.352263798496493,8.970872770540172,23.926105219603752,24.29218482646056,0.0085354693182476
Origen 1,2020-07-01,2021-06-30,8760,507,ARX WinH(507),ARX NOTH(507),14.968278831871435,14.578647813975868,9.306888910046196,8.798735563837635,23.476698205465112,23.775057492730294,0.0039522038840199
Origen 1,2020-07-01,2021-06-30,8760,507,LEAR Win(todo),LEAR NOT(507),14.600158783816871,14.15325227674978,9.066148328838336,8.480708191651651,22.96504383628286,23.303603134352823,0.0051029560349151
Origen 2,2021-07-01,2022-06-30,8760,728,ARX Win(728),ARX NOT(728),16.356011070784913,15.268719896988763,9.924124383821177,8.246738439268093,30.84650221889637,31.56947271664208,2.7060406242331225e-07
Origen 2,2021-07-01,2022-06-30,8760,728,ARX WinH(728),ARX NOTH(728),16.39162604846285,16.39727480818213,9.786878836957191,8.625744415886437,29.94413236014549,61.00999662811465,0.992375889636994
Origen 2,2021-07-01,2022-06-30,8760,728,LEAR Win(todo),LEAR NOT(728),15.595182876221571,14.411674356055052,9.49662805991414,7.674158427349026,28.38746723986952,29.487326394779448,3.925261569596448e-07
Origen 3,2022-07-01,2023-06-30,8760,728,ARX Win(728),ARX NOT(728),32.39259494183255,33.21456807001477,11.0586451164254,11.390849570709957,56.66842967129009,57.51847025191118,1.95983459050766e-05
Origen 3,2022-07-01,2023-06-30,8760,728,ARX WinH(728),ARX NOTH(728),36.56470861910085,35.760732568570646,11.571004902577286,11.54292035141534,60.938309385034906,61.94246893466128,0.0034872837618356
Origen 3,2022-07-01,2023-06-30,8760,728,LEAR Win(todo),LEAR NOT(728),30.28055901659656,33.97058922019991,10.54752320392817,12.048673926237251,53.11141981962346,58.921525768726646,3.415167670277793e-21
Origen 4,2023-07-01,2024-06-30,8784,728,ARX Win(728),ARX NOT(728),52.14136082379464,55.157124136571504,11.879605301038772,12.499502877193953,81.91945919626721,84.60047747201797,3.065747187854704e-17
Origen 4,2023-07-01,2024-06-30,8784,728,ARX WinH(728),ARX NOTH(728),58.17046964187947,64.62552461502852,12.488646082143603,14.936635050336356,87.13909182086128,117.54900249991988,3.788625365740499e-06
Origen 4,2023-07-01,2024-06-30,8784,728,LEAR Win(todo),LEAR NOT(728),50.30129847776839,52.54712519698435,11.89065579643546,12.334598985402542,80.01084763191498,81.75972390580536,7.663899095607852e-11
Origen 5,2024-07-01,2025-06-30,8760,728,ARX Win(728),ARX NOT(728),92.6475955440153,90.7324856102158,26.569611037454365,19.959867009456623,175.51408041319587,189.15134908377496,0.18335321752540001
Origen 5,2024-07-01,2025-06-30,8760,728,ARX WinH(728),ARX NOTH(728),94.41945435610288,94.31328666934249,28.026475319892448,19.864152184227986,175.55756680767388,203.1438562415416,0.9628956889708211
Origen 5,2024-07-01,2025-06-30,8760,728,LEAR Win(todo),LEAR NOT(728),88.04106132615196,94.08001925753807,20.874020893883138,19.216778173704572,179.92038003124665,202.90651771438758,0.0005233352437081435
Origen 6,2026-01-01,2026-08-05,5207,728,ARX Win(728),ARX NOT(728),57.97246125833072,51.186510920944244,19.261060884604625,14.084223593936565,92.3537502780433,90.82727343027858,2.661089361813335e-15
Origen 6,2026-01-01,2026-08-05,5207,728,ARX WinH(728),ARX NOTH(728),52.30477168992581,50.9136929742006,15.389579525151175,13.522830132865634,90.74894832926148,91.50969219629324,0.010829424887576197
Origen 6,2026-01-01,2026-08-05,5207,728,LEAR Win(todo),LEAR NOT(728),51.50027399728629,49.71042747080629,15.96271622278221,13.589547461540633,88.88635346283326,89.40601657048768,0.028196895221784722
