hora,n,target,modelo,AUC_medio,AUC_std
0,2742,mediana,logistica,0.7032175924474543,0.09274807568538919
0,2742,mediana,RandomForest,0.7693497256131117,0.08437679776934653
0,2742,mediana,CatBoost,0.7566791225572975,0.09835055477881813
0,2742,percentil 80,logistica,0.7568590064843558,0.09230341571704928
0,2742,percentil 80,RandomForest,0.7859146357007021,0.07303682892457308
0,2742,percentil 80,CatBoost,0.7909362247402942,0.06791057219625936
0,2742,magnitud (Spearman),RF regresor,0.33012868859322914,0.28034141734773155
9,2742,mediana,logistica,0.694154411492833,0.06706801714412926
9,2742,mediana,RandomForest,0.7246210764762788,0.07640131327572676
9,2742,mediana,CatBoost,0.7172471114316965,0.0851140586718895
9,2742,percentil 80,logistica,0.7651624043498513,0.07296549437202274
9,2742,percentil 80,RandomForest,0.781930548046193,0.0884514073018621
9,2742,percentil 80,CatBoost,0.7990736559542467,0.07258412356732122
9,2742,magnitud (Spearman),RF regresor,0.35955540326046453,0.11422474354379501
19,2742,mediana,logistica,0.6584376737920298,0.06204824644130715
19,2742,mediana,RandomForest,0.650758676857456,0.06726066627170818
19,2742,mediana,CatBoost,0.6979564876064712,0.05531356940801986
19,2742,percentil 80,logistica,0.7758838997077074,0.05783265739465158
19,2742,percentil 80,RandomForest,0.7725993534816032,0.08971968472668881
19,2742,percentil 80,CatBoost,0.8138986996483311,0.07771122662390292
19,2742,magnitud (Spearman),RF regresor,0.35500899187769336,0.23981529529403164
