hora_lanzamiento,objetivos_mismo_dia,n,MAE,MAPE
0,23,5184,53.2738532809691,16.535582202768097
1,22,5184,53.97323037906322,16.63260892135098
2,21,5184,53.82659719298701,16.642267501693983
3,20,5184,55.57000064064068,17.364107935004558
4,19,5184,53.83185185519784,16.058041231642168
5,18,5184,55.77984218306783,16.760671472505116
6,17,5184,55.274522024469405,16.465258144044846
7,16,5184,53.16353650979975,15.24771450804852
8,15,5184,52.5399766292092,14.344043278631979
9,14,5184,55.24659532240481,15.425922932208003
10,13,5184,56.259016322871986,15.583546392391497
11,12,5184,56.55700630518621,15.705113769107651
12,11,5184,58.41282940815925,16.324791439194872
13,10,5184,58.12626961717456,16.463868196718977
14,9,5184,55.85144147631786,16.14109901034499
15,8,5184,56.252688313947864,16.55382311151791
16,7,5184,56.13870692070924,16.533522240158177
17,6,5184,56.744316649580455,16.944544308270814
18,5,5184,56.29177226777673,16.983838277991424
19,4,5184,57.5679225139414,17.06231876692656
20,3,5184,58.0420758476506,17.260687454741348
21,2,5184,61.13043754287506,18.655987576439333
22,1,5184,61.27026696235529,19.301837394040763
23,0,5184,61.64273780065618,19.31828940165097
