hora,MAE_A,MAE_B,MAE_persist
0,51.133807844091876,47.802931403440134,46.76315412037037
1,20.508171032925734,47.4144774456642,47.14721930555556
2,31.943775511029273,51.0560669610964,47.08092837962963
3,36.21637907844376,49.95275084601873,45.44702597222222
4,37.74483339282638,51.89418865520785,42.252156157407406
5,39.26461905520841,48.3751047942987,43.374119768518526
6,41.65468306512954,50.89375404925155,47.93164458333334
7,47.733537990139446,54.91475738058189,49.282879675925926
8,56.23362733903658,68.36364453693285,61.09108050925926
9,60.33309793853429,74.06674620157962,61.51117560185186
10,59.65675477797928,71.42737325439546,60.63312152777777
11,53.098438060894935,70.60194385013538,57.87960717592592
12,52.92965547875687,67.72031183359194,51.47450763888889
13,48.21017534345319,63.04294499164849,51.91900597222223
14,50.37797624594605,59.536129697839186,55.09810356481481
15,50.81955113233989,57.26920058349348,54.617681712962955
16,45.438121770993604,47.66007055511758,45.63027726851851
17,42.6347860144167,41.64790452506371,41.52344541666666
18,100.19346406546993,100.50237865981369,102.4450911574074
19,123.61849067853976,120.82849723500243,110.3205633796296
20,85.75116319508126,85.93376862516244,88.93338171296297
21,59.066864310965165,59.719815555962015,59.583914305555545
22,42.92097123300304,42.78976905910947,39.34527393518519
23,40.99869409498589,46.22306160076823,42.31072291666668
