tramo,conjunto,modo,mae_lad,mae_qra,delta,p,veredicto
1-24h,v3 (mismos votantes),CV,47.90573381290295,47.800326529008615,-0.10540728389433696,0.5064850992103672,sin diferencia
1-24h,v3 (mismos votantes),desplegable,50.25784094937573,50.29193475820636,0.03409380883062596,0.92383459866041,sin diferencia
1-24h,v3 + semillas + contexto 336h,CV,47.069196796061185,47.02101099834988,-0.048185797711305156,0.7518946903407726,sin diferencia
1-24h,v3 + semillas + contexto 336h,desplegable,49.43470772036602,49.54713119131171,0.11242347094569283,0.6751400032888134,sin diferencia
25-48h,v3 (mismos votantes),CV,64.00186969023187,63.30648208531801,-0.6953876049138614,0.13184185370784895,sin diferencia
25-48h,v3 (mismos votantes),desplegable,67.13412146341594,67.20013668146942,0.06601521805347943,0.933106155921193,sin diferencia
25-48h,v3 + semillas + contexto 336h,CV,64.17662756756665,63.53869584258913,-0.6379317249775269,0.15068568136356839,sin diferencia
25-48h,v3 + semillas + contexto 336h,desplegable,67.21630999583721,67.37720060598146,0.16089061014425,0.840196772890921,sin diferencia
49-72h,v3 (mismos votantes),CV,74.68710144774987,74.71927641547789,0.032174967728025194,0.9617313463370235,sin diferencia
49-72h,v3 (mismos votantes),desplegable,79.33613848005405,81.0392166216211,1.7030781415670475,0.19309441366173685,sin diferencia
49-72h,v3 + semillas + contexto 336h,CV,74.74701115758425,74.78325585614652,0.03624469856227108,0.9586372838598606,sin diferencia
49-72h,v3 + semillas + contexto 336h,desplegable,79.77671045790963,81.34877150379167,1.5720610458820374,0.24783578708446397,sin diferencia
