caso,variante,cobertura,ancho,interval_score
72h 1-24h,contrato v3 actual (calibracion con fuga),78.36021505376344,181.35228964947183,302.15354836381954
72h 1-24h,"v3 recalculado, calibracion con fuga",78.36021505376344,181.35228964947183,302.15354836381954
72h 1-24h,v3 + calibracion CAUSAL (corregida),78.36021505376344,181.35228964947183,302.15354836381954
72h 1-24h,QRA cruda,78.29301075268818,173.91095434736926,319.97959015063384
72h 1-24h,QRA + calibracion CAUSAL,78.89784946236558,190.76706872785965,320.53493823067106
72h 25-48h,contrato v3 actual (calibracion con fuga),77.48655913978494,228.22938851039183,371.06329252973205
72h 25-48h,"v3 recalculado, calibracion con fuga",77.48655913978494,228.22938851039183,371.06329252973205
72h 25-48h,v3 + calibracion CAUSAL (corregida),77.48655913978494,228.22938851039183,371.06329252973205
72h 25-48h,QRA cruda,76.00806451612904,207.4862117760511,390.65532176511664
72h 25-48h,QRA + calibracion CAUSAL,78.49462365591397,242.73458630407654,381.15323048712406
72h 49-72h,contrato v3 actual (calibracion con fuga),75.0,284.94027073005486,510.6163086656297
72h 49-72h,"v3 recalculado, calibracion con fuga",75.0,284.94027073005486,510.6163086656297
72h 49-72h,v3 + calibracion CAUSAL (corregida),75.0,284.94027073005486,510.6163086656297
72h 49-72h,QRA cruda,76.14247311827957,251.68544668480766,481.3655819615024
72h 49-72h,QRA + calibracion CAUSAL,77.28494623655914,304.4485998026316,488.5293852639383
24h,"N-BEATSx solo, adaptativa (contrato 24h actual)",76.76971326164875,181.41757088896853,322.5183527150868
24h,QRA cruda,78.60663082437276,139.5239637933888,290.0386512480783
24h,QRA + calibracion CAUSAL,79.70430107526882,159.59029628259793,289.8108192841784
