conjunto,n_variables,mae_1-24h,mae_25-48h,mae_49-72h,mae_global
todas (linea base),37,64.17904605127723,75.01725496750565,85.01514750657904,74.7049173105148
poda |r|>0.8 (por orden),30,90.14402093007365,96.41698221255344,104.34535628879485,96.94681786399751
poda |r|>0.8 (guiada por y),30,61.95264897453542,76.04659561610835,86.24575495639142,74.71075320596397
poda |r|>0.9 (por orden),33,64.08399351902455,76.78382211271858,86.92755675762014,75.89645317566571
poda |r|>0.9 (guiada por y),33,64.13258684679809,76.86480469576226,86.98794227438646,75.95975540971854
LASSO (alpha por CV),33,64.02379233364972,75.14906560440072,85.2161945013188,74.76356743937437
LASSO agresivo (alpha x10),19,62.63867106456778,74.43860376762156,85.09708560040235,74.02337832532714
LASSO agresivo (alpha x50),6,60.82075647111174,74.37702434129288,85.59534645449503,73.55938428574369
info. mutua top-10,10,64.46340726997475,80.93982780181108,92.65728461328156,79.30989232621656
info. mutua top-20,20,61.193790686104045,73.32552350089921,84.37339286814871,72.92837823219243
