modo,subconjunto,n_votantes,mae_1-24h,mae_25-48h,mae_49-72h
CV,"completo (7 votantes, vigente)",7,47.90573381290295,64.00186969023187,74.68710144774987
CV,sin redes neuronales (5),5,59.64771139540006,69.95253002047721,79.22906086594686
CV,solo arboles + naive (4),4,63.57337453613231,74.92551225414608,82.99555005313195
CV,arboles + Ridge (4),4,59.64771139540006,69.95253002047723,79.22906086594686
CV,minimo: Ridge + XGB + naive (3),3,60.21266321052083,71.34390495508619,80.95301448798863
CV,muy minimo: Ridge + naive (2),2,61.01363528539105,72.07266297960055,82.32567793996505
CV,una red + Ridge + naive (3),3,49.85725134381564,64.90701290545391,76.38119357294849
desplegable,"completo (7 votantes, vigente)",7,50.25784094937573,67.13412146341594,79.33613848005405
desplegable,sin redes neuronales (5),5,62.39781837747792,73.82946215529458,84.06593232914322
desplegable,solo arboles + naive (4),4,66.39019960922725,78.2560709221656,87.5850023610909
desplegable,arboles + Ridge (4),4,62.366366888303354,73.72692847879334,84.04085980604849
desplegable,minimo: Ridge + XGB + naive (3),3,62.806708352762485,75.12045185073792,85.14844130623221
desplegable,muy minimo: Ridge + naive (2),2,63.56430172451209,75.36797159645462,86.00856023665693
desplegable,una red + Ridge + naive (3),3,52.155221140684034,67.86224182166657,80.31130840761678
