variable,n,corr_contemp,corr_lag24h,corr_parcial,veredicto
max_precio_oferta,65238,0.9998022209464654,0.9305737498168719,0.02091186797738291,FUGA (no usar contemporanea)
costo_marginal_despacho,65832,0.9005673131859362,0.8662586035910206,0.17806031729306157,>>> CANDIDATA REAL <<<
generacion_ideal,65833,0.3228604928072901,0.30597624646562377,0.0182333295788959,REDUNDANTE
demanda_comercial,65833,0.32355751072510996,0.3058342315031803,0.015948911400367038,REDUNDANTE
restricciones_aliviadas,65833,-0.34276154263904673,-0.2863019652898936,0.09480897901390355,aporte debil
perdidas_energia,65833,0.04253393243604516,0.03509412588404971,-0.011559942410898584,REDUNDANTE
importaciones_energia,32415,-0.028903135880811028,-0.03402433334495294,-0.019272558753584527,REDUNDANTE
exportaciones_energia,33518,0.2380827409541079,0.24722064941162933,0.07451351630616572,aporte debil
precio_escasez,65833,0.23129460740906388,0.23209499760055058,0.046363067384081115,REDUNDANTE
precio_escasez_marginal,65833,0.22608538892104466,0.22719768179542077,0.04812154585967171,REDUNDANTE
aportes_media_historica,65833,0.13341027725356547,0.13380994201887877,0.027209388694267034,REDUNDANTE
compras_arranque_parada,65833,-0.18569438825938844,-0.1822439008865231,-0.027350425528579612,REDUNDANTE
