tramo,config,MAE,MAPE,sMAPE
1-24h,A  4 votantes (vigente),46.43441591189133,13.02605142985796,12.010723390726262
1-24h,"B  + 3 variantes NBX, LAD",45.761738550844655,12.655974623746607,11.661487421258592
1-24h,"C  + 3 variantes NBX, sMAPE",45.87766208837961,12.615174185983083,11.6173580611358
1-24h,D  LEAR + sub_nbx + naive (5->3 votantes),45.941364630677775,12.767133675939792,11.721117840325897
1-24h,"E  LEAR + sub_nbx + naive, sMAPE",45.996035365621225,12.763855211972938,11.709816278843014
25-48h,A  4 votantes (vigente),62.56041832550559,18.294101333638213,16.525643657003073
25-48h,"B  + 3 variantes NBX, LAD",62.31213918914605,18.219445190619847,16.389507959739717
25-48h,"C  + 3 variantes NBX, sMAPE",62.41263756291428,18.27380967951864,16.37197764812666
25-48h,D  LEAR + sub_nbx + naive (5->3 votantes),62.455864249836466,18.25470218755136,16.422029676160392
25-48h,"E  LEAR + sub_nbx + naive, sMAPE",62.434803566622314,18.311714180640543,16.43679315072998
49-72h,A  4 votantes (vigente),72.86871105655062,21.6936689570253,19.440433405277936
49-72h,"B  + 3 variantes NBX, LAD",73.0605153183139,21.8167120311445,19.488209137538163
49-72h,"C  + 3 variantes NBX, sMAPE",73.25555453672473,21.89171005900415,19.524826745590627
49-72h,D  LEAR + sub_nbx + naive (5->3 votantes),73.07677332076818,21.977486131129858,19.577001435651287
49-72h,"E  LEAR + sub_nbx + naive, sMAPE",73.31356094483256,22.07671870815577,19.629232239014396
