,MAE,RMSE,MAPE_%,sMAPE_%
ARX Win(364),49.327346039595355,90.42297355638183,13.871870051784665,12.831506165637894
LEAR NOT(728),49.66533373251493,88.78085914491264,13.617485271763599,12.587747112911257
LEAR WinH(728),49.93353816848933,86.94684468162248,14.597697393324454,13.545253723187223
LEAR NOTH(728),50.13517578129754,90.26813114958529,13.570312416650863,12.593122630485098
ARX NOTH(728),50.52493699309639,91.64415304200674,13.16076084133153,12.53369837530899
ARX Win(182),51.02498177417901,92.8374437858732,14.486372391713804,14.608266782247735
ARX NOT(728),51.407969477365846,91.03988058433079,13.924169147368662,12.99235701657834
LEAR Win(todo),51.50027399728628,88.88635346283326,15.962716222782214,14.419567775223117
ARX Av(NOTH),51.525403796801776,111.16912705208827,13.241866915559406,12.716143161106293
ARX Av(Win),51.81402640848602,89.03655370706609,15.626543899735509,14.647797067125287
ARX Av(WinH),52.10782230897903,110.53023196113749,14.127491982746577,13.427016091778796
ARX WinH(728),52.30477168992581,90.74894832926148,15.389579525151175,14.31891835077242
ARX WinH(714),52.46022036652989,90.88813341580452,15.417747951720125,14.341301822025093
ARX WinH(700),52.59928875149442,90.93077074808602,15.443930726751494,14.366564777918986
ARX Win(112),53.235097502852994,95.55668841767746,14.871107722459193,14.772085742816573
ARX WinH(364),53.72610814346495,96.57236180646576,13.39735823479147,13.123268355498638
ARX WinH(182),54.11916143989667,97.42359192009926,14.79767750078802,15.52082683494114
ARX Win(84),55.02888153419129,99.35005281013581,15.506968975991253,14.752533282199366
ARX WinH(112),56.638326835258624,101.09484369501618,15.07296655703623,15.468756098808592
LEAR Win(728),57.38318053450911,92.8595269374889,18.59625365574066,16.67432357152808
ARX Win(728),57.9724612583307,92.3537502780433,19.261060884604625,17.625168893583492
ARX Win(714),58.2979255700155,92.55023317148763,19.444206691331615,17.76113383817739
ARX Win(700),58.631996690575306,92.72519005910927,19.623901509024474,17.898305692558385
ARX WinH(84),59.187157360309286,116.8505594085986,15.55904233027435,15.31243906234003
ARX Win(56),59.86852951989189,113.627401123684,16.471105446125765,15.524689173306449
ARX WinH(56),70.92803184697526,353.7629256536,17.469022664185534,16.11086294102202
