fecha_hora,N-BEATSx_3a,N-HiTS_3a,N-BEATSx_5a,N-HiTS_5a
2026-01-01 01:00:00,306.81433,313.37228,316.55286,317.91162
2026-01-01 02:00:00,268.67407,292.28088,298.9051,311.03
2026-01-01 03:00:00,236.9732,276.3941,287.41534,299.00665
2026-01-01 04:00:00,238.7871,271.73697,288.87808,294.02643
2026-01-01 05:00:00,235.1969,269.28418,295.30518,294.6669
2026-01-01 06:00:00,236.83981,275.45395,302.10547,296.78067
2026-01-01 07:00:00,243.7287,279.00934,303.76987,299.3879
2026-01-01 08:00:00,244.17279,282.29993,307.83994,302.9346
2026-01-01 09:00:00,251.60535,283.3236,313.3208,306.19513
2026-01-01 10:00:00,260.62158,291.683,319.96857,311.26074
2026-01-01 11:00:00,269.12006,298.7306,325.03967,317.59583
2026-01-01 12:00:00,275.6934,305.54694,328.2328,322.0478
2026-01-01 13:00:00,287.92343,315.40024,331.87247,327.6245
2026-01-01 14:00:00,299.77478,322.59732,338.4107,332.76273
2026-01-01 15:00:00,306.73178,325.8154,334.23117,336.39166
2026-01-01 16:00:00,311.24832,332.43164,331.1189,340.1729
2026-01-01 17:00:00,322.5851,348.2206,332.65903,343.404
2026-01-01 18:00:00,342.52335,356.26633,336.81445,346.89893
2026-01-01 19:00:00,349.06805,364.86145,343.0297,347.55063
2026-01-01 20:00:00,353.42966,365.8385,334.4133,348.10748
2026-01-01 21:00:00,354.10464,353.9332,324.88013,348.967
2026-01-01 22:00:00,345.278,331.7901,321.09473,346.42203
2026-01-01 23:00:00,343.19617,326.46124,319.1362,339.49734
2026-01-02 00:00:00,325.54984,318.54297,318.55005,333.99194
2026-01-02 01:00:00,325.2217,331.47473,330.0321,326.2241
2026-01-02 02:00:00,320.91498,328.9799,328.09375,326.21097
2026-01-02 03:00:00,318.67184,331.8613,321.41104,325.9431
2026-01-02 04:00:00,320.58072,330.04868,317.58347,325.04126
2026-01-02 05:00:00,320.73917,326.2529,310.28683,324.05026
2026-01-02 06:00:00,318.18817,322.75552,310.37497,322.67877
2026-01-02 07:00:00,319.0763,318.52322,304.49976,323.06982
2026-01-02 08:00:00,318.4522,315.9762,306.7556,325.0883
2026-01-02 09:00:00,318.89505,313.123,311.5261,327.16354
2026-01-02 10:00:00,322.9374,315.20773,313.80267,330.2556
2026-01-02 11:00:00,322.61768,317.69937,319.10028,332.21616
2026-01-02 12:00:00,330.0046,322.08978,321.02707,333.87213
2026-01-02 13:00:00,333.87155,322.10165,325.13385,337.1959
2026-01-02 14:00:00,338.94916,324.81247,327.04163,339.70282
2026-01-02 15:00:00,345.83423,329.4206,329.30173,341.0684
2026-01-02 16:00:00,349.41138,332.8919,327.56665,341.80362
2026-01-02 17:00:00,353.24612,339.0081,325.6353,341.8447
2026-01-02 18:00:00,360.21704,344.78033,328.1814,343.81375
2026-01-02 19:00:00,363.93256,350.91873,328.7793,346.79178
2026-01-02 20:00:00,360.76013,355.01093,324.81186,348.55206
2026-01-02 21:00:00,358.50098,354.16833,322.51224,348.27673
2026-01-02 22:00:00,354.8609,347.44513,323.06403,346.34186
2026-01-02 23:00:00,354.03284,344.8651,323.48184,342.26736
2026-01-03 00:00:00,357.38803,341.41992,322.04175,339.60394
2026-01-03 01:00:00,342.12726,341.02832,342.66763,342.81693
2026-01-03 02:00:00,340.99142,341.46716,342.62683,342.85178
2026-01-03 03:00:00,341.36688,343.33658,342.41144,342.53568
2026-01-03 04:00:00,340.96964,343.08755,340.6874,341.54053
2026-01-03 05:00:00,341.97684,341.56183,341.2163,340.14438
2026-01-03 06:00:00,338.49988,338.7678,340.08984,338.8277
2026-01-03 07:00:00,338.35498,338.84787,338.76752,338.80215
