ensamble,n,mae,rmse,mape
1a+2a+5a+completa,4,55.85219030606506,99.6612125143102,16.12242298832194
1a+2a+3a+5a+completa,5,55.95559973923034,99.95197855889458,16.074632371664496
1a+3a+5a+completa,4,56.076339474471375,100.50091866002515,16.08338174388109
1a+5a+completa,3,56.07997550916446,100.43050362793247,16.18652441421587
2a+5a+completa,3,56.12542025231521,99.73140664023614,16.221368765514388
1a+2a+3a+completa,4,56.26293831288327,100.21542540920764,16.128865798322966
1a+2a+completa,3,56.275890008185364,100.08139938853603,16.216599784462314
2a+3a+5a+completa,4,56.33420018037952,100.19586380291108,16.159864401073403
5a+completa,2,56.39872834729313,101.03114141705316,16.312389872548057
1a+3a+completa,3,56.40796848699942,100.87844864023043,16.140311231831582
completa,1,56.48898624152821,101.00372952847258,16.398691758692575
3a+5a+completa,3,56.5123084193029,101.06516746709333,16.170530340176196
1a+2a+3a+5a,4,56.60622713555637,100.64979481304911,16.179532283136588
2a+completa,2,56.65184176962201,99.79820885951847,16.34471729506668
2a+3a+completa,3,56.73608881736416,100.36058352268424,16.229984706296708
1a+completa,2,56.80537691635202,101.31198850291973,16.37397814370944
3a+completa,2,56.81400298552483,101.24400532506401,16.19635128730197
1a+2a+5a,3,56.84469376194734,100.62271078775247,16.301117197073577
1a+3a+5a,3,56.853548405329505,101.48284893253667,16.200009866560784
2a+3a+5a,3,57.06501757258262,100.9208447278361,16.288717058041577
2a+5a,2,57.15562059045936,100.54284946489645,16.42065441843605
3a+5a,2,57.28329983897219,102.1287164271211,16.258866071865697
5a,1,57.5453275233565,102.48538501221458,16.529223302615982
1a+2a+3a,3,57.58205329499744,101.7297149328836,16.377560062525767
1a+5a,2,57.64874463435208,102.15067072954984,16.4809497903757
1a+3a,2,58.412419375278695,103.43388424606582,16.529721312836553
2a+3a,2,58.50715732093963,102.24010153162439,16.60160063190551
1a+2a,2,58.921285474898056,103.05021854213349,16.773068431487175
3a,1,59.27418883377004,104.49468704049623,16.60114152419111
2a,1,61.22716285176454,104.31281968867175,17.338762406728474
1a,1,63.76813542746173,110.19573018018852,17.936701638786026
