ensamble,n,mae_global,mae_el_nino,mae_resto
1a,1,63.566080115207384,96.58476210562893,50.9595841257628
2a,1,59.10367285762289,96.5174840027797,44.81912145462987
3a,1,57.16915362772272,89.55149260071691,44.80561269322056
5a,1,56.906742597222866,90.37993167842947,44.126716306998325
6m,1,113.18811389246255,113.58388601772066,113.03700853606925
completa,1,55.59130102981849,89.49728955139541,42.64603239555232
1a+2a,2,57.79677148833526,89.9325213342599,45.527378007760674
1a+3a,2,56.93169347056965,87.69292152282502,45.187090879114216
1a+5a,2,56.62219836353863,87.634323554201,44.781803524227634
1a+6m,2,75.79948564402314,93.47709241296039,69.05019507875363
1a+completa,2,56.29065188751204,88.40488078231377,44.029475082094244
2a+3a,2,56.55896490179465,89.77678214069762,43.876439296387005
2a+5a,2,55.98295561060815,89.31056358501124,43.25851202473231
2a+6m,2,73.8758110794878,92.26932694596942,66.853187218552
2a+completa,2,54.80097439091159,87.48460979318627,42.322398815461014
3a+5a,2,55.722568721495136,87.20551895860238,43.70241340411722
3a+6m,2,73.76248771848127,91.19218317234292,67.1078494170467
3a+completa,2,54.75836523734847,86.59739625594997,42.602258674396076
5a+6m,2,71.92777506230632,91.16214131517121,64.58411546085432
5a+completa,2,54.58584178054341,86.65857655117902,42.34050738549309
6m+completa,2,73.9313559989108,92.85434229355374,66.70658091852047
1a+2a+3a,3,55.92794578036296,87.07217638567025,44.03711324095273
1a+2a+5a,3,55.690961048221546,87.08407668987982,43.70510447927851
1a+2a+6m,3,64.2278274987036,87.71716750532778,55.25962365961307
1a+2a+completa,3,55.10684129197931,86.6614203814871,43.05933815857475
1a+3a+5a,3,55.370599260420136,85.80423574521,43.7510707643701
1a+3a+6m,3,64.07968742430405,87.05543356910023,55.307573149334125
1a+3a+completa,3,54.9480444215963,86.24318546540995,42.99959444493197
1a+5a+6m,3,62.98118073854461,86.80113064038686,53.88675040987627
1a+5a+completa,3,54.71077911803668,85.84292918521983,42.82455891462025
1a+6m+completa,3,63.962686846651025,88.03212972129694,54.77300037898973
2a+3a+5a,3,55.51249842384485,87.51020902250127,43.2958081740527
2a+3a+6m,3,63.160798208816495,86.90707641919889,54.09449564985117
2a+3a+completa,3,54.67298631234697,86.442272768566,42.543508145592064
2a+5a+6m,3,62.175516752994184,87.14412161384435,52.642531240984795
2a+5a+completa,3,54.367531597645005,86.12718525861177,42.24173122138308
2a+6m+completa,3,62.763918645864244,86.91541408355187,53.5429046010692
3a+5a+6m,3,62.06520113504668,86.18866373641912,52.85488999591826
3a+5a+completa,3,54.53267738461566,85.87606807731792,42.56580574577285
3a+6m+completa,3,62.880682888106115,86.9825982245458,53.67859847071777
5a+6m+completa,3,61.848841293058676,86.7620211939917,52.33701696898262
1a+2a+3a+5a,4,55.112101858371254,85.95049612479882,43.33803729233535
1a+2a+3a+6m,4,59.45691441591642,85.40444627758195,49.55017566586689
1a+2a+3a+completa,4,54.663926767223636,85.77920801783092,42.78414705917803
1a+2a+5a+6m,4,58.743062743595,85.29585791915302,48.605235134778866
1a+2a+5a+completa,4,54.455133880154776,85.51087088767534,42.59808809776632
1a+2a+6m+completa,4,59.06948811905126,85.47865282956305,48.98649846173462
1a+3a+5a+6m,4,58.61312899723171,84.67547425694117,48.66255461975177
1a+3a+5a+completa,4,54.43784877673704,85.2035494541364,42.69153854198575
1a+3a+6m+completa,4,59.06523189565837,85.44179788934372,48.99468839209955
1a+5a+6m+completa,4,58.36951350660676,85.17496244268196,48.13522297357088
2a+3a+5a+6m,4,58.13494625228145,85.24083050090111,47.785949851707386
2a+3a+5a+completa,4,54.4403908959952,85.71310474701352,42.50050359654829
2a+3a+6m+completa,4,58.363370664646034,85.09018653085283,48.15910215006085
2a+5a+6m+completa,4,57.67582516663092,84.95278135338876,47.26151369071037
3a+5a+6m+completa,4,57.782208525552676,84.88385170002026,47.434831362363795
1a+2a+3a+5a+6m,5,56.5806921905174,84.29489161308489,45.999441734408435
1a+2a+3a+5a+completa,5,54.33633659036948,85.13048191655056,42.579166220410706
1a+2a+3a+6m+completa,5,56.718751457762544,84.43435243937127,46.13696588797347
1a+2a+5a+6m+completa,5,56.17716838509534,84.17086208085765,45.48920732693615
1a+3a+5a+6m+completa,5,56.227185690883836,84.12892003137544,45.574334612091725
2a+3a+5a+6m+completa,5,55.796607613983475,84.2922700745626,44.916995440788114
1a+2a+3a+5a+6m+completa,6,55.077991295082164,83.829756472256,44.10059939008
