ventana,dias,semilla,n_train,mae,rmse,mape,segundos
6m,180,42,4320,121.82026164692728,167.44033108639965,40.89745567324172,146.82062697410583
6m,180,7,4320,109.35116821614407,162.06157352323103,31.117242094802656,213.68409037590027
1a,365,42,8760,66.0543269935943,112.317577097378,19.09820869066238,225.0837960243225
1a,365,7,8760,66.19349254589544,112.69006853549214,19.1262191926758,141.7279736995697
2a,730,42,17520,61.32758923528387,105.50866002109598,17.044591449336536,147.9702422618866
2a,730,7,17520,62.11214944586641,105.31073924734788,18.230759334719583,141.544579744339
3a,1095,42,26280,58.19037859189222,100.83836666253076,16.587461014093602,145.22105956077576
3a,1095,7,26280,60.73297055515741,103.62824072688717,17.509958476433926,136.40115928649902
5a,1825,42,43800,59.0807281287207,101.87468337196223,17.107167280427703,141.79923605918884
5a,1825,7,43800,57.55216151347686,99.57641935541677,16.974951197351622,145.22942876815796
completa,2557,42,60625,56.10622150834466,100.91666283172209,15.929163809208347,144.765230178833
completa,2557,7,60625,56.23938218474217,101.41313640238992,16.173933733736494,134.81083798408508
