ventana,dias,semilla,n_train,mae,rmse,mape,segundos
1a,365,42,8760,65.12594344655449,111.0633334426851,18.22524262800852,146.65856909751892
1a,365,7,8760,64.74854853426555,112.59432851899948,18.303246601717156,136.22044610977173
2a,730,42,17520,62.65361293432373,105.9112151525091,17.83502720798373,137.40278124809265
2a,730,7,17520,62.210779874616584,106.20427678477175,17.48947657168221,135.6372048854828
3a,1095,42,26280,60.165884680768094,106.39366594195708,16.960941112785434,137.57022786140442
3a,1095,7,26280,61.173586760219216,106.06911574325058,17.079869685294348,136.22166776657104
5a,1825,42,43800,58.79535004306588,106.05315597066483,16.794362364704565,137.9712038040161
5a,1825,7,43800,58.64476276461601,102.67454941992912,16.838748806766663,136.1502025127411
completa,2557,42,60625,57.075286727031475,101.3510251881527,16.355685871034453,137.36345410346985
completa,2557,7,60625,57.58419479089833,102.87254004101723,16.824839919839597,137.3215708732605
