ds,y,NHITS,ventana,semilla
2026-01-01 00:00:00,327.90985,264.79507,1a,42
2026-01-01 01:00:00,307.90985,260.63943,1a,42
2026-01-01 02:00:00,296.32185,256.0021,1a,42
2026-01-01 03:00:00,296.32185,247.78813,1a,42
2026-01-01 04:00:00,296.32185,244.02405,1a,42
2026-01-01 05:00:00,296.32185,240.96759,1a,42
2026-01-01 06:00:00,296.32185,237.5377,1a,42
2026-01-01 07:00:00,296.32185,235.63326,1a,42
2026-01-01 08:00:00,272.90985,235.1228,1a,42
2026-01-01 09:00:00,104.99185,235.90182,1a,42
2026-01-01 10:00:00,103.53785,235.794,1a,42
2026-01-01 11:00:00,244.80985,238.44357,1a,42
2026-01-01 12:00:00,272.90985,238.50076,1a,42
2026-01-01 13:00:00,292.90985,240.56297,1a,42
2026-01-01 14:00:00,296.32185,243.6593,1a,42
2026-01-01 15:00:00,296.32185,251.96906,1a,42
2026-01-01 16:00:00,296.32185,266.9351,1a,42
2026-01-01 17:00:00,327.90985,279.29108,1a,42
2026-01-01 18:00:00,332.90985,292.93753,1a,42
2026-01-01 19:00:00,332.90985,294.96448,1a,42
2026-01-01 20:00:00,332.90985,295.81073,1a,42
2026-01-01 21:00:00,332.90985,289.9763,1a,42
2026-01-01 22:00:00,332.90985,277.79977,1a,42
2026-01-01 23:00:00,327.90985,269.4967,1a,42
2026-01-02 00:00:00,329.20101,301.9691,1a,42
2026-01-02 01:00:00,326.20101,294.7894,1a,42
2026-01-02 02:00:00,326.20101,284.60147,1a,42
2026-01-02 03:00:00,329.20101,276.61862,1a,42
2026-01-02 04:00:00,326.20101,279.61792,1a,42
2026-01-02 05:00:00,329.20101,283.47485,1a,42
2026-01-02 06:00:00,329.20101,286.2748,1a,42
2026-01-02 07:00:00,329.20101,284.78305,1a,42
2026-01-02 08:00:00,329.20101,283.33597,1a,42
2026-01-02 09:00:00,326.20101,284.00922,1a,42
2026-01-02 10:00:00,326.20101,283.72736,1a,42
2026-01-02 11:00:00,329.20101,286.73004,1a,42
2026-01-02 12:00:00,329.20101,289.43085,1a,42
2026-01-02 13:00:00,329.20101,296.0492,1a,42
2026-01-02 14:00:00,329.20101,302.4728,1a,42
2026-01-02 15:00:00,331.20101,307.5764,1a,42
2026-01-02 16:00:00,331.20101,314.61658,1a,42
