horizonte,tramo,variante,mae,mape,mae_ridge_id,dm_p_vs_id
72h,1-24h,asinh estandar c=1 (literatura),76.21325371503875,16.677824522956577,65.91880840524094,2.632451171644564e-10
72h,1-24h,mejor fijo ex post [id] (NO desplegable),65.91880840524094,16.78180002714116,65.91880840524094,
72h,1-24h,SELroll (56d),66.10814574637136,16.13104438599806,65.91880840524094,0.7204329003937364
72h,1-24h,AVGroll (56d),66.04557481820216,16.1027465299295,65.91880840524094,0.8102544110532937
72h,25-48h,asinh estandar c=1 (literatura),84.40189046567532,20.87246916985314,75.1194922400993,3.6635090711221787e-17
72h,25-48h,mejor fijo ex post [id] (NO desplegable),75.1194922400993,21.086926079737086,75.1194922400993,
72h,25-48h,SELroll (56d),74.72219732955533,20.49282678841611,75.1194922400993,0.2684004160949607
72h,25-48h,AVGroll (56d),75.13943366420422,20.526505524353063,75.1194922400993,0.9553469452280043
72h,49-72h,asinh estandar c=1 (literatura),94.71575434238417,23.81393074865287,89.4957759853659,5.840881851706544e-07
72h,49-72h,mejor fijo ex post [id] (NO desplegable),89.4957759853659,24.68450392059005,89.4957759853659,
72h,49-72h,SELroll (56d),88.80083260429151,23.66520352608536,89.4957759853659,0.00014820479071823677
72h,49-72h,AVGroll (56d),88.8542066066305,23.70338694628302,89.4957759853659,0.00025183219650023813
24h,1-24h,asinh estandar c=1 (literatura),65.38067024545933,16.12631467338133,61.229591000811126,3.1765351027147646e-07
24h,1-24h,mejor fijo ex post [asinh_0.1] (NO desplegable),60.85121408580425,16.18103894154886,61.229591000811126,0.011115263529236539
24h,1-24h,SELroll (56d),60.718150340450094,15.934710454996583,61.229591000811126,0.032921840760455616
24h,1-24h,AVGroll (56d),60.75942513707072,15.949490230779894,61.229591000811126,0.0506977197337905
