origen,regimen,modelo,mae,rmse,mape
Origen 1,La Nina 2020-21,XGBoost,18.254494341635507,27.31630431650391,11.522599217972191
Origen 1,La Nina 2020-21,Persistencia,16.80302599086758,29.496399963345596,10.15664048542919
Origen 2,La Nina 2021-22,XGBoost,24.13826309755453,47.51153196170557,11.567952446561401
Origen 2,La Nina 2021-22,Persistencia,17.5189196369863,39.52562334729563,9.196218970011328
Origen 3,La Nina triple-dip -> neutral,XGBoost,59.59824735834242,99.90799534786828,16.5921078618761
Origen 3,La Nina triple-dip -> neutral,Persistencia,39.74940643835617,72.89378144758037,14.24712343558387
Origen 4,El Nino 2023-24 (episodio completo),XGBoost,133.98581794625565,196.83393307860302,22.24679696981553
Origen 4,El Nino 2023-24 (episodio completo),Persistencia,67.18841359289618,113.00945035119982,16.35117289357167
Origen 5,Neutral / La Nina debil 2024-25,XGBoost,135.4650824365887,318.7922902883137,20.358504286692767
Origen 5,Neutral / La Nina debil 2024-25,Persistencia,101.25249744292236,240.21887084988825,20.66754323634661
Origen 6,El Nino 2026 (neutral->fuerte),XGBoost,61.39044052055914,107.63662370157212,15.9686662482213
Origen 6,El Nino 2026 (neutral->fuerte),Persistencia,56.39987661330762,112.32905000318043,15.807073477216207
Origen 1,La Nina 2020-21,ARX+GARCH,48.60107972051079,60.87159354818795,29.740762284609573
Origen 2,La Nina 2021-22,ARX+GARCH,19.514497641717696,39.081725761468135,9.884616096122336
Origen 3,La Nina triple-dip -> neutral,ARX+GARCH,47.590660422089165,74.8856990492099,15.231730022447005
Origen 4,El Nino 2023-24 (episodio completo),ARX+GARCH,78.12389145866854,113.5347681098052,16.915474950675797
Origen 5,Neutral / La Nina debil 2024-25,ARX+GARCH,102.588579142245,234.56232829549842,20.466654168042083
Origen 6,El Nino 2026 (neutral->fuerte),ARX+GARCH,55.83449237019034,110.07752735565406,15.483361134808884
Origen 1,La Nina 2020-21,N-BEATSx,17.911419819079672,27.72873078255423,11.423518700264875
Origen 1,La Nina 2020-21,N-HiTS,30.018617493171377,40.17883846853808,19.732368390699815
Origen 2,La Nina 2021-22,N-BEATSx,19.270089619759755,36.27653239400554,10.657662391518505
Origen 2,La Nina 2021-22,N-HiTS,18.894913932221854,37.73652885867516,9.981936357149834
Origen 3,La Nina triple-dip -> neutral,N-BEATSx,38.58988986482608,65.69777126976686,13.822193311131322
Origen 3,La Nina triple-dip -> neutral,N-HiTS,38.89672890678343,66.88670862531909,13.793302311889022
Origen 4,El Nino 2023-24 (episodio completo),N-BEATSx,70.93986922518093,109.42438592702332,17.502271860593527
Origen 4,El Nino 2023-24 (episodio completo),N-HiTS,68.97882981843416,111.24858813695865,17.281202567981513
Origen 5,Neutral / La Nina debil 2024-25,N-BEATSx,104.65683792316648,233.2994811994581,22.58299383316963
Origen 5,Neutral / La Nina debil 2024-25,N-HiTS,102.42241688392271,232.64746502045855,21.939924254473897
Origen 6,El Nino 2026 (neutral->fuerte),N-BEATSx,49.18950537869018,92.33629970945385,13.129337124147348
Origen 6,El Nino 2026 (neutral->fuerte),N-HiTS,46.80155965677944,90.77995598602944,12.409544883767277
