origen,regimen,modelo,mae,rmse,mape
Origen 1,La Nina (inicio),XGBoost,16.209727845276298,21.461358906578834,11.059615699810731
Origen 1,La Nina (inicio),Persistencia,15.712272938215103,22.84550012923475,10.931274254783444
Origen 2,La Nina (continuacion),XGBoost,8.444438261637185,13.23677041630416,8.20525992037023
Origen 2,La Nina (continuacion),Persistencia,6.323536649885583,14.568945452516713,5.600741068126602
Origen 3,La Nina (triple-dip),XGBoost,43.898074667348624,67.729813711675,16.40212405854004
Origen 3,La Nina (triple-dip),Persistencia,36.07350980320366,71.47760117426895,15.015698610711748
Origen 4,El Nino (fuerte),XGBoost,138.89553727091007,186.28097772357268,25.53985856207321
Origen 4,El Nino (fuerte),Persistencia,90.41664666819221,142.2558916355776,19.57977873901182
Origen 5,El Nino (pico),XGBoost,46.50094399963125,69.80855331042851,9.789757254954369
Origen 5,El Nino (pico),Persistencia,42.48967641832485,71.56085474050587,9.283764806290712
Origen 6,El Nino 2026 (neutral->fuerte),XGBoost,61.188875539888855,107.45146138834977,15.943182872840008
Origen 6,El Nino 2026 (neutral->fuerte),Persistencia,56.39987661330762,112.32905000318043,15.807073477216207
Origen 1,La Nina (inicio),ARX+GARCH,30.796130838581693,37.76484723839373,21.609552788947394
Origen 2,La Nina (continuacion),ARX+GARCH,7.884529226240035,14.209874107424923,7.4389521053791485
Origen 3,La Nina (triple-dip),ARX+GARCH,44.11028928963923,70.05466563777924,16.855395220317178
Origen 4,El Nino (fuerte),ARX+GARCH,90.04182640633597,139.56036629909167,19.47793733333503
Origen 5,El Nino (pico),ARX+GARCH,43.72588483003252,71.04841425666034,9.486663179465978
Origen 6,El Nino 2026 (neutral->fuerte),ARX+GARCH,55.83449237019034,110.07752735565406,15.483361134808884
Origen 1,La Nina (inicio),N-BEATSx,17.495928673706054,23.6157085271386,11.162544966356132
Origen 1,La Nina (inicio),N-HiTS,19.42865628176623,25.432924505310904,12.505633064641106
Origen 2,La Nina (continuacion),N-BEATSx,5.926776019789028,12.21573602401285,5.272692387348223
Origen 2,La Nina (continuacion),N-HiTS,6.5207348838465204,12.394412592740634,5.939800315145626
Origen 3,La Nina (triple-dip),N-BEATSx,38.13763022274478,63.96627985669762,13.96259511424448
Origen 3,La Nina (triple-dip),N-HiTS,38.924384913045024,67.41111176763349,14.547334207308232
Origen 4,El Nino (fuerte),N-BEATSx,75.42107473466476,124.69192492691202,15.028504139941829
Origen 4,El Nino (fuerte),N-HiTS,78.92936209803878,125.20661469518059,16.81505592013835
Origen 5,El Nino (pico),N-BEATSx,36.512995534767434,56.25408581204891,7.5276689449957095
Origen 5,El Nino (pico),N-HiTS,30.79850861946163,51.341938066718384,6.482824582506427
Origen 6,El Nino 2026 (neutral->fuerte),N-BEATSx,49.18950537869018,92.33629970945385,13.129337124147348
Origen 6,El Nino 2026 (neutral->fuerte),N-HiTS,46.80155965677944,90.77995598602944,12.409544883767277
