origen,fecha_hora,real,modelo,prediccion
Junio 2020,2020-06-01 00:00:00,252.18777,Persistencia,221.22797
Junio 2020,2020-06-01 01:00:00,252.18777,Persistencia,270.14297
Junio 2020,2020-06-01 02:00:00,252.18777,Persistencia,221.22797
Junio 2020,2020-06-01 03:00:00,246.20777,Persistencia,221.22797
Junio 2020,2020-06-01 04:00:00,252.18777,Persistencia,221.22797
Junio 2020,2020-06-01 05:00:00,252.18777,Persistencia,210.21997
Junio 2020,2020-06-01 06:00:00,252.18777,Persistencia,221.21897
Junio 2020,2020-06-01 07:00:00,293.18777,Persistencia,221.22797
Junio 2020,2020-06-01 08:00:00,573.18777,Persistencia,221.22797
Junio 2020,2020-06-01 09:00:00,383.18777,Persistencia,270.14297
Junio 2020,2020-06-01 10:00:00,383.18777,Persistencia,336.22797
Junio 2020,2020-06-01 11:00:00,573.18777,Persistencia,325.31397
Junio 2020,2020-06-01 12:00:00,383.18777,Persistencia,336.22797
Junio 2020,2020-06-01 13:00:00,383.18777,Persistencia,298.01497
Junio 2020,2020-06-01 14:00:00,383.18777,Persistencia,298.01497
Junio 2020,2020-06-01 15:00:00,383.18777,Persistencia,297.73997
Junio 2020,2020-06-01 16:00:00,400.18777,Persistencia,297.73997
Junio 2020,2020-06-01 17:00:00,293.18777,Persistencia,298.01497
Junio 2020,2020-06-01 18:00:00,454.99777,Persistencia,531.32797
Junio 2020,2020-06-01 19:00:00,568.18777,Persistencia,531.32797
Junio 2020,2020-06-01 20:00:00,454.99777,Persistencia,531.32797
Junio 2020,2020-06-01 21:00:00,383.18777,Persistencia,531.32797
Junio 2020,2020-06-01 22:00:00,383.18777,Persistencia,336.22797
Junio 2020,2020-06-01 23:00:00,293.18777,Persistencia,298.01497
Junio 2020,2020-06-02 00:00:00,362.12335,Persistencia,252.18777
Junio 2020,2020-06-02 01:00:00,362.12335,Persistencia,252.18777
Junio 2020,2020-06-02 02:00:00,307.60435,Persistencia,252.18777
Junio 2020,2020-06-02 03:00:00,251.12335,Persistencia,246.20777
Junio 2020,2020-06-02 04:00:00,251.12335,Persistencia,252.18777
Junio 2020,2020-06-02 05:00:00,256.70835,Persistencia,252.18777
Junio 2020,2020-06-02 06:00:00,362.12335,Persistencia,252.18777
Junio 2020,2020-06-02 07:00:00,377.12335,Persistencia,293.18777
Junio 2020,2020-06-02 08:00:00,377.12335,Persistencia,573.18777
Junio 2020,2020-06-02 09:00:00,377.12335,Persistencia,383.18777
Junio 2020,2020-06-02 10:00:00,377.12335,Persistencia,383.18777
Junio 2020,2020-06-02 11:00:00,455.12335,Persistencia,573.18777
Junio 2020,2020-06-02 12:00:00,455.12335,Persistencia,383.18777
Junio 2020,2020-06-02 13:00:00,455.12335,Persistencia,383.18777
Junio 2020,2020-06-02 14:00:00,455.12335,Persistencia,383.18777
Junio 2020,2020-06-02 15:00:00,455.12335,Persistencia,383.18777
Junio 2020,2020-06-02 16:00:00,377.12335,Persistencia,400.18777
Junio 2020,2020-06-02 17:00:00,377.12335,Persistencia,293.18777
Junio 2020,2020-06-02 18:00:00,455.12335,Persistencia,454.99777
