origen,fecha_hora,real,modelo,prediccion
Origen 1,2020-07-01 00:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 01:00:00,210.16884,Persistencia,191.07359
Origen 1,2020-07-01 02:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 03:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 04:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 05:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 06:00:00,205.16884,Persistencia,191.07359
Origen 1,2020-07-01 07:00:00,210.16884,Persistencia,195.07259
Origen 1,2020-07-01 08:00:00,210.16884,Persistencia,216.07359
Origen 1,2020-07-01 09:00:00,260.16884,Persistencia,216.07359
Origen 1,2020-07-01 10:00:00,260.16884,Persistencia,216.07359
Origen 1,2020-07-01 11:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 12:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 13:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 14:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 15:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 16:00:00,260.16884,Persistencia,216.07359
Origen 1,2020-07-01 17:00:00,260.16884,Persistencia,216.07359
Origen 1,2020-07-01 18:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 19:00:00,270.16884,Persistencia,272.07359
Origen 1,2020-07-01 20:00:00,270.16884,Persistencia,262.07359
Origen 1,2020-07-01 21:00:00,260.16884,Persistencia,262.07359
Origen 1,2020-07-01 22:00:00,210.16884,Persistencia,216.07359
Origen 1,2020-07-01 23:00:00,210.16884,Persistencia,216.07359
Origen 1,2020-07-02 00:00:00,171.60186,Persistencia,205.16884
Origen 1,2020-07-02 01:00:00,171.60186,Persistencia,210.16884
Origen 1,2020-07-02 02:00:00,193.60186,Persistencia,205.16884
Origen 1,2020-07-02 03:00:00,193.60186,Persistencia,205.16884
Origen 1,2020-07-02 04:00:00,193.60186,Persistencia,205.16884
Origen 1,2020-07-02 05:00:00,193.60186,Persistencia,205.16884
Origen 1,2020-07-02 06:00:00,193.60186,Persistencia,205.16884
Origen 1,2020-07-02 07:00:00,193.60186,Persistencia,210.16884
Origen 1,2020-07-02 08:00:00,200.60086,Persistencia,210.16884
Origen 1,2020-07-02 09:00:00,200.60086,Persistencia,260.16884
Origen 1,2020-07-02 10:00:00,208.60186,Persistencia,260.16884
Origen 1,2020-07-02 11:00:00,253.60186,Persistencia,270.16884
Origen 1,2020-07-02 12:00:00,253.60186,Persistencia,270.16884
Origen 1,2020-07-02 13:00:00,208.60186,Persistencia,270.16884
Origen 1,2020-07-02 14:00:00,208.60186,Persistencia,270.16884
Origen 1,2020-07-02 15:00:00,208.60186,Persistencia,270.16884
Origen 1,2020-07-02 16:00:00,208.60186,Persistencia,260.16884
Origen 1,2020-07-02 17:00:00,200.60086,Persistencia,260.16884
Origen 1,2020-07-02 18:00:00,253.60186,Persistencia,270.16884
Origen 1,2020-07-02 19:00:00,253.60186,Persistencia,270.16884
Origen 1,2020-07-02 20:00:00,253.60186,Persistencia,270.16884
Origen 1,2020-07-02 21:00:00,208.60186,Persistencia,260.16884
Origen 1,2020-07-02 22:00:00,200.60086,Persistencia,210.16884
Origen 1,2020-07-02 23:00:00,193.60186,Persistencia,210.16884
Origen 1,2020-07-03 00:00:00,169.23235,Persistencia,171.60186
Origen 1,2020-07-03 01:00:00,169.23235,Persistencia,171.60186
Origen 1,2020-07-03 02:00:00,169.23235,Persistencia,193.60186
Origen 1,2020-07-03 03:00:00,169.23235,Persistencia,193.60186
